Year,Job_Name,Required_Skills,Avg_Salary_LPA,Job_Postings,User_Learned_Skills,Skill_Count,Experience_Level
2023,Maintenance Engineer,"vibration analysis, troubleshooting, reliability",8.21,1020,"reliability, troubleshooting",2,Fresher
2016,Project Engineer,"scheduling, stakeholder management, ms project",20.15,984,"ms project, stakeholder management, scheduling",3,Senior
2019,Maintenance Engineer,"cmms, troubleshooting, vibration analysis, reliability, preventive maintenance",8.81,385,"troubleshooting, reliability, vibration analysis, preventive maintenance, cmms",5,Mid
2018,Project Engineer,"stakeholder management, risk register, budgeting, ms project, scheduling",9.24,910,"risk register, stakeholder management, scheduling, budgeting",4,Senior
2025,HVAC Engineer,"thermodynamics, hvac design, revit mep",12.65,416,"revit mep, thermodynamics",2,Mid
2016,HVAC Engineer,"thermodynamics, revit mep, duct design",5.97,554,"thermodynamics, revit mep, hvac design",3,Mid
2019,CAE Engineer,"structural analysis, meshing, cfd, simulation, ansys",7.93,724,"simulation, ansys, meshing, structural analysis",4,Senior
2017,CAE Engineer,"simulation, cfd, meshing",7.46,458,"cfd, simulation, meshing, structural analysis",4,Senior
2024,Project Engineer,"risk register, stakeholder management, budgeting, ms project",9.02,684,"stakeholder management, ms project, budgeting, risk register",4,Mid
2017,Project Engineer,"stakeholder management, budgeting, risk register, scheduling",20.51,714,"scheduling, stakeholder management, budgeting, risk register",4,Mid
2022,Design Engineer,"solidworks, mechanical design, cad, gd and t, drafting, fea",8.65,542,"cad, gd and t",2,Mid
2025,Project Engineer,"stakeholder management, ms project, scheduling, risk register",17.45,999,"scheduling, stakeholder management",2,Fresher
2024,HVAC Engineer,"duct design, hvac design, thermodynamics",17.69,911,"duct design, hvac design",2,Mid
2018,Quality Engineer,"iso standards, root cause analysis, spc, metrology, capa",14.45,627,"capa, metrology",2,Fresher
2016,HVAC Engineer,"duct design, thermodynamics, load calculation",18.71,517,"duct design, thermodynamics, load calculation",3,Mid
2024,Manufacturing Engineer,"kaizen, cnc, process mapping, lean six sigma",9.46,693,"process mapping, lean six sigma, cnc, kaizen",4,Mid
2017,HVAC Engineer,"revit mep, hvac design, duct design",9.8,513,"duct design, hvac design, revit mep, load calculation",4,Mid
2025,Maintenance Engineer,"vibration analysis, reliability, preventive maintenance, cmms, troubleshooting",12.58,714,"cmms, reliability",2,Senior
2020,Design Engineer,"cad, mechanical design, drafting",10.01,404,"mechanical design, drafting, cad",3,Mid
2019,CAE Engineer,"cfd, simulation, ansys, meshing",14.41,849,"ansys, cfd, meshing, simulation, structural analysis",5,Senior
2017,Maintenance Engineer,"cmms, reliability, troubleshooting",8.9,617,"cmms, reliability, troubleshooting",3,Senior
2022,Quality Engineer,"spc, capa, root cause analysis, iso standards, metrology",18.71,1234,"iso standards, metrology, capa, spc, root cause analysis",5,Fresher
2016,Project Engineer,"risk register, ms project, stakeholder management, scheduling",18.13,506,"stakeholder management, risk register",2,Senior
2019,HVAC Engineer,"revit mep, duct design, hvac design, load calculation, thermodynamics",5.0,625,"thermodynamics, revit mep, hvac design, load calculation, duct design",5,Senior
2019,HVAC Engineer,"hvac design, thermodynamics, duct design",4.82,616,"thermodynamics, duct design, hvac design",3,Mid
2019,HVAC Engineer,"revit mep, thermodynamics, load calculation, duct design",17.36,399,"thermodynamics, duct design, revit mep, hvac design",4,Senior
2022,Maintenance Engineer,"troubleshooting, cmms, vibration analysis, reliability",17.09,749,"vibration analysis, reliability",2,Mid
2017,Maintenance Engineer,"reliability, preventive maintenance, cmms",13.1,727,"preventive maintenance, reliability",2,Mid
2020,CAE Engineer,"meshing, structural analysis, cfd, simulation",11.12,510,"meshing, structural analysis, cfd",3,Mid
2021,CAE Engineer,"meshing, ansys, simulation, structural analysis",18.76,353,"simulation, ansys, structural analysis, meshing",4,Senior
2022,Design Engineer,"solidworks, cad, fea, mechanical design, gd and t, drafting",21.5,868,"solidworks, cad, fea, mechanical design, drafting",5,Fresher
2025,HVAC Engineer,"load calculation, thermodynamics, duct design, hvac design, revit mep",12.72,543,"thermodynamics, load calculation, revit mep",3,Fresher
2023,Maintenance Engineer,"troubleshooting, vibration analysis, reliability, preventive maintenance, cmms",8.61,697,"cmms, vibration analysis, preventive maintenance, troubleshooting",4,Fresher
2022,Project Engineer,"ms project, scheduling, stakeholder management, budgeting",19.59,591,"budgeting, ms project, scheduling, stakeholder management, risk register",5,Mid
2017,HVAC Engineer,"hvac design, revit mep, thermodynamics, duct design, load calculation",19.67,432,"duct design, load calculation, thermodynamics, hvac design, revit mep",5,Fresher
2019,CAE Engineer,"ansys, simulation, structural analysis",15.03,696,"structural analysis, ansys, simulation",3,Mid
2025,Project Engineer,"scheduling, stakeholder management, budgeting, risk register, ms project",5.17,1307,"ms project, scheduling",2,Senior
2019,Manufacturing Engineer,"kaizen, cnc, production planning, process mapping, lean six sigma",10.43,370,"kaizen, production planning",2,Mid
2018,Quality Engineer,"capa, iso standards, spc",12.03,435,"capa, spc, iso standards",3,Fresher
2021,Maintenance Engineer,"preventive maintenance, troubleshooting, reliability, vibration analysis",8.13,703,"preventive maintenance, troubleshooting, reliability, vibration analysis",4,Senior
2019,Maintenance Engineer,"troubleshooting, preventive maintenance, vibration analysis",8.58,1072,"preventive maintenance, vibration analysis, troubleshooting",3,Mid
2019,Design Engineer,"cad, gd and t, fea, solidworks, mechanical design, drafting",4.12,751,"drafting, gd and t, cad, fea",4,Mid
2020,Robotics Automation Engineer,"plc, scada, robotics, motion control, safety pl",8.25,265,"scada, safety pl, robotics",3,Fresher
2015,CAE Engineer,"ansys, structural analysis, meshing, cfd",13.43,614,"structural analysis, meshing, cfd, ansys, simulation",5,Mid
2024,CAE Engineer,"meshing, structural analysis, cfd, simulation",20.32,712,"meshing, cfd, simulation, structural analysis, ansys",5,Mid
2020,Maintenance Engineer,"preventive maintenance, reliability, vibration analysis, cmms, troubleshooting",21.06,771,"cmms, preventive maintenance, troubleshooting, vibration analysis, reliability",5,Senior
2018,Project Engineer,"stakeholder management, ms project, budgeting, scheduling, risk register",10.3,756,"stakeholder management, budgeting, risk register",3,Senior
2024,Robotics Automation Engineer,"scada, robotics, plc",4.44,627,"robotics, scada, plc",3,Fresher
2018,Robotics Automation Engineer,"safety pl, robotics, plc",3.55,646,"plc, safety pl, robotics",3,Senior
2018,Quality Engineer,"iso standards, spc, root cause analysis",9.49,799,"iso standards, root cause analysis, spc",3,Senior
2020,Quality Engineer,"iso standards, metrology, root cause analysis, spc",7.6,604,"iso standards, metrology",2,Senior
2020,Design Engineer,"drafting, solidworks, gd and t, cad, fea",6.24,692,"cad, drafting, solidworks, gd and t, fea",5,Senior
2018,Quality Engineer,"metrology, root cause analysis, iso standards, capa",11.2,378,"metrology, iso standards, capa, root cause analysis",4,Mid
2020,Manufacturing Engineer,"production planning, process mapping, cnc, lean six sigma",13.79,893,"lean six sigma, production planning, cnc, process mapping, kaizen",5,Fresher
2024,Robotics Automation Engineer,"motion control, scada, safety pl, robotics, plc",7.65,584,"safety pl, plc",2,Mid
2019,Manufacturing Engineer,"lean six sigma, production planning, kaizen, process mapping",9.99,694,"process mapping, kaizen, lean six sigma, production planning, cnc",5,Mid
2018,Quality Engineer,"spc, iso standards, root cause analysis",10.35,543,"root cause analysis, spc, iso standards",3,Fresher
2022,Robotics Automation Engineer,"plc, robotics, safety pl, scada, motion control",11.68,854,"safety pl, scada",2,Senior
2019,Maintenance Engineer,"cmms, troubleshooting, preventive maintenance",4.51,892,"troubleshooting, preventive maintenance",2,Senior
2017,HVAC Engineer,"hvac design, load calculation, duct design, revit mep",10.53,756,"hvac design, revit mep, load calculation",3,Fresher
2024,HVAC Engineer,"thermodynamics, revit mep, load calculation, duct design, hvac design",5.63,464,"thermodynamics, duct design, hvac design, revit mep",4,Mid
2023,Design Engineer,"gd and t, mechanical design, fea, solidworks, cad",10.82,861,"gd and t, mechanical design, solidworks",3,Fresher
2025,Maintenance Engineer,"reliability, cmms, preventive maintenance, troubleshooting, vibration analysis",8.24,758,"vibration analysis, cmms, troubleshooting, preventive maintenance",4,Fresher
2024,Quality Engineer,"spc, iso standards, root cause analysis, metrology, capa",15.25,565,"capa, metrology, root cause analysis",3,Senior
2016,Robotics Automation Engineer,"robotics, motion control, plc, safety pl, scada",10.32,618,"plc, scada, safety pl, robotics",4,Fresher
2024,Maintenance Engineer,"vibration analysis, troubleshooting, reliability",6.98,903,"reliability, vibration analysis",2,Senior
2022,CAE Engineer,"ansys, structural analysis, meshing, simulation, cfd",6.44,943,"cfd, structural analysis, ansys",3,Senior
2021,Robotics Automation Engineer,"motion control, scada, safety pl, plc",8.16,686,"safety pl, motion control, scada, plc",4,Mid
2016,Quality Engineer,"capa, iso standards, metrology, root cause analysis",18.54,628,"root cause analysis, capa",2,Mid
2017,Manufacturing Engineer,"process mapping, production planning, lean six sigma, cnc, kaizen",4.93,880,"production planning, kaizen, cnc, lean six sigma, process mapping",5,Fresher
2024,Manufacturing Engineer,"production planning, cnc, process mapping, kaizen, lean six sigma",4.31,743,"cnc, lean six sigma",2,Mid
2022,Robotics Automation Engineer,"motion control, scada, safety pl, robotics, plc",10.31,587,"plc, scada, robotics",3,Fresher
2023,CAE Engineer,"structural analysis, meshing, ansys, cfd",19.25,988,"meshing, cfd, structural analysis, ansys",4,Senior
2018,Maintenance Engineer,"cmms, troubleshooting, vibration analysis",19.87,573,"cmms, troubleshooting, vibration analysis",3,Mid
2016,Design Engineer,"mechanical design, gd and t, fea, solidworks, cad, drafting",6.05,854,"fea, gd and t",2,Fresher
2023,Maintenance Engineer,"troubleshooting, vibration analysis, cmms, preventive maintenance",14.76,454,"troubleshooting, preventive maintenance, vibration analysis, reliability",4,Senior
2024,Project Engineer,"budgeting, scheduling, ms project",14.54,606,"budgeting, ms project, scheduling",3,Mid
2016,Design Engineer,"fea, mechanical design, solidworks, drafting",21.53,725,"solidworks, fea, mechanical design, drafting",4,Senior
2016,Manufacturing Engineer,"kaizen, process mapping, lean six sigma, cnc, production planning",5.42,517,"lean six sigma, kaizen",2,Senior
2022,Robotics Automation Engineer,"scada, safety pl, motion control",6.87,969,"scada, safety pl",2,Senior
2023,Quality Engineer,"spc, root cause analysis, capa",8.19,404,"spc, capa, root cause analysis, metrology",4,Mid
2021,HVAC Engineer,"thermodynamics, load calculation, hvac design, duct design",21.51,919,"hvac design, load calculation, duct design, thermodynamics",4,Mid
2020,CAE Engineer,"cfd, meshing, ansys, simulation, structural analysis",16.78,609,"simulation, meshing, ansys, structural analysis, cfd",5,Senior
2025,Quality Engineer,"root cause analysis, metrology, spc, iso standards, capa",21.13,554,"spc, root cause analysis, iso standards, metrology, capa",5,Fresher
2020,Quality Engineer,"spc, iso standards, capa, root cause analysis, metrology",6.05,464,"capa, root cause analysis, metrology, spc, iso standards",5,Senior
2022,Robotics Automation Engineer,"scada, robotics, plc, safety pl",21.93,944,"robotics, safety pl, plc, scada, motion control",5,Fresher
2023,Maintenance Engineer,"reliability, preventive maintenance, troubleshooting, cmms, vibration analysis",16.67,293,"preventive maintenance, cmms, reliability, vibration analysis, troubleshooting",5,Fresher
2020,Quality Engineer,"spc, iso standards, capa, root cause analysis",18.37,589,"root cause analysis, spc, iso standards",3,Mid
2020,Quality Engineer,"spc, root cause analysis, iso standards, metrology, capa",13.07,563,"metrology, spc",2,Senior
2020,Quality Engineer,"iso standards, metrology, root cause analysis, spc, capa",7.67,529,"capa, metrology, spc",3,Senior
2017,Maintenance Engineer,"reliability, cmms, preventive maintenance",15.69,478,"preventive maintenance, cmms, reliability",3,Fresher
2015,Robotics Automation Engineer,"plc, safety pl, motion control, robotics, scada",19.95,556,"scada, robotics",2,Mid
2021,Maintenance Engineer,"troubleshooting, reliability, cmms, vibration analysis, preventive maintenance",6.16,565,"vibration analysis, troubleshooting, cmms, preventive maintenance",4,Senior
2017,Robotics Automation Engineer,"motion control, robotics, safety pl, plc, scada",4.44,713,"robotics, plc, motion control, scada",4,Fresher
2022,Project Engineer,"budgeting, risk register, stakeholder management, scheduling, ms project",11.96,1176,"risk register, scheduling, stakeholder management, ms project, budgeting",5,Senior
2016,HVAC Engineer,"thermodynamics, duct design, hvac design",5.98,769,"duct design, hvac design, thermodynamics",3,Mid
2023,Maintenance Engineer,"troubleshooting, cmms, preventive maintenance, reliability, vibration analysis",16.09,459,"vibration analysis, cmms, reliability, preventive maintenance",4,Senior
2018,Manufacturing Engineer,"kaizen, production planning, cnc",12.92,777,"cnc, production planning",2,Senior
2020,Design Engineer,"cad, fea, mechanical design",21.83,859,"mechanical design, fea, cad",3,Mid
2024,Maintenance Engineer,"vibration analysis, troubleshooting, cmms, reliability, preventive maintenance",18.24,626,"vibration analysis, cmms, troubleshooting, preventive maintenance",4,Mid
2018,Design Engineer,"drafting, gd and t, cad, fea, solidworks, mechanical design",7.03,1177,"gd and t, solidworks, fea, drafting",4,Fresher
2023,CAE Engineer,"simulation, structural analysis, cfd, ansys",13.88,795,"ansys, cfd, structural analysis, simulation",4,Fresher
2018,CAE Engineer,"cfd, simulation, structural analysis, meshing, ansys",16.54,1229,"structural analysis, meshing, cfd, ansys, simulation",5,Mid
2016,CAE Engineer,"cfd, meshing, simulation, ansys",20.59,495,"ansys, meshing, simulation, cfd, structural analysis",5,Mid
2023,Maintenance Engineer,"reliability, vibration analysis, cmms, troubleshooting, preventive maintenance",11.15,722,"vibration analysis, reliability, cmms, troubleshooting, preventive maintenance",5,Fresher
2019,CAE Engineer,"ansys, simulation, structural analysis",8.78,843,"structural analysis, simulation, ansys",3,Mid
2021,Design Engineer,"gd and t, solidworks, cad",21.3,730,"solidworks, gd and t, cad",3,Senior
2023,Maintenance Engineer,"cmms, preventive maintenance, reliability",12.64,575,"preventive maintenance, reliability",2,Senior
2019,Quality Engineer,"root cause analysis, iso standards, spc, metrology, capa",14.8,393,"metrology, spc, capa, root cause analysis, iso standards",5,Fresher
2015,Project Engineer,"ms project, stakeholder management, scheduling, risk register",10.6,560,"stakeholder management, ms project, risk register, scheduling",4,Mid
2025,CAE Engineer,"cfd, ansys, simulation, meshing",17.74,275,"ansys, cfd, simulation, meshing, structural analysis",5,Senior
2023,Manufacturing Engineer,"production planning, cnc, lean six sigma, process mapping, kaizen",17.51,693,"cnc, process mapping, lean six sigma, kaizen",4,Mid
2016,HVAC Engineer,"duct design, revit mep, load calculation",7.24,933,"load calculation, revit mep, duct design",3,Senior
2015,Quality Engineer,"capa, metrology, spc",5.94,795,"spc, capa, metrology, root cause analysis",4,Mid
2018,Project Engineer,"risk register, stakeholder management, scheduling, budgeting",16.46,646,"risk register, stakeholder management, ms project",3,Mid
2021,Design Engineer,"solidworks, fea, mechanical design",19.59,671,"solidworks, mechanical design, fea",3,Mid
2021,Project Engineer,"risk register, budgeting, scheduling, stakeholder management",18.94,382,"risk register, stakeholder management",2,Fresher
2015,Design Engineer,"drafting, gd and t, mechanical design, fea, cad",11.26,641,"gd and t, cad, fea, mechanical design, drafting, solidworks",6,Senior
2018,Design Engineer,"solidworks, drafting, gd and t, cad",6.09,375,"solidworks, cad, gd and t",3,Fresher
2019,Maintenance Engineer,"vibration analysis, cmms, preventive maintenance",13.8,617,"cmms, vibration analysis, preventive maintenance",3,Fresher
2021,Quality Engineer,"capa, metrology, spc, iso standards, root cause analysis",19.21,800,"root cause analysis, spc, iso standards, metrology, capa",5,Fresher
2018,Maintenance Engineer,"troubleshooting, preventive maintenance, cmms, reliability, vibration analysis",15.46,927,"vibration analysis, preventive maintenance, reliability",3,Mid
2015,CAE Engineer,"meshing, simulation, ansys, structural analysis",16.9,790,"structural analysis, ansys",2,Senior
2022,HVAC Engineer,"load calculation, duct design, thermodynamics, revit mep",16.37,607,"duct design, thermodynamics, load calculation",3,Fresher
2023,HVAC Engineer,"duct design, load calculation, hvac design, revit mep",12.19,865,"revit mep, hvac design, load calculation, duct design",4,Senior
2019,Robotics Automation Engineer,"scada, motion control, plc",7.13,549,"plc, scada, motion control, safety pl",4,Fresher
2020,HVAC Engineer,"revit mep, load calculation, hvac design, duct design",6.9,855,"duct design, load calculation, revit mep",3,Mid
2018,Design Engineer,"drafting, solidworks, gd and t",16.58,979,"solidworks, drafting",2,Fresher
2023,Design Engineer,"fea, solidworks, mechanical design, drafting",15.97,736,"drafting, fea, mechanical design, solidworks, gd and t",5,Senior
2019,Quality Engineer,"capa, iso standards, spc",4.96,694,"capa, iso standards",2,Mid
2023,Project Engineer,"budgeting, scheduling, stakeholder management, ms project",6.67,418,"budgeting, ms project, scheduling",3,Senior
2025,CAE Engineer,"meshing, ansys, cfd, structural analysis",20.14,742,"ansys, meshing, structural analysis, cfd, simulation",5,Mid
2024,Design Engineer,"solidworks, cad, gd and t, fea",9.64,800,"fea, solidworks, cad, gd and t",4,Senior
2024,Quality Engineer,"capa, root cause analysis, spc, metrology, iso standards",10.84,528,"root cause analysis, capa",2,Senior
2016,Robotics Automation Engineer,"motion control, safety pl, plc",16.69,723,"safety pl, plc, motion control, scada",4,Fresher
2022,Manufacturing Engineer,"kaizen, cnc, production planning, process mapping",17.58,534,"production planning, cnc, kaizen, process mapping",4,Mid
2020,Manufacturing Engineer,"cnc, kaizen, process mapping",19.48,445,"process mapping, kaizen, lean six sigma",3,Mid
2016,Design Engineer,"mechanical design, solidworks, cad, fea, gd and t",11.54,609,"fea, solidworks, mechanical design, gd and t, cad, drafting",6,Fresher
2015,Project Engineer,"ms project, scheduling, budgeting, risk register",10.53,870,"risk register, budgeting, ms project, scheduling, stakeholder management",5,Senior
2020,Robotics Automation Engineer,"motion control, robotics, safety pl, scada",17.1,643,"robotics, scada, safety pl, motion control",4,Mid
2017,CAE Engineer,"cfd, structural analysis, simulation, meshing, ansys",12.04,594,"cfd, structural analysis, simulation",3,Senior
2021,HVAC Engineer,"thermodynamics, revit mep, load calculation, hvac design",4.87,470,"revit mep, load calculation, hvac design, thermodynamics, duct design",5,Mid
2024,CAE Engineer,"meshing, structural analysis, cfd, ansys, simulation",15.46,1251,"simulation, meshing, ansys, cfd, structural analysis",5,Senior
2022,Robotics Automation Engineer,"plc, safety pl, robotics, motion control",14.39,857,"safety pl, motion control",2,Senior
2017,Quality Engineer,"metrology, spc, iso standards, root cause analysis",13.14,593,"metrology, root cause analysis",2,Fresher
2016,Robotics Automation Engineer,"motion control, safety pl, robotics, plc",19.21,849,"robotics, motion control",2,Fresher
2021,Manufacturing Engineer,"cnc, process mapping, production planning, lean six sigma, kaizen",11.49,611,"kaizen, lean six sigma, process mapping",3,Senior
2023,Design Engineer,"gd and t, mechanical design, drafting, solidworks",10.27,606,"mechanical design, gd and t, solidworks, drafting",4,Fresher
2016,HVAC Engineer,"load calculation, revit mep, duct design, hvac design",6.69,476,"hvac design, duct design",2,Senior
2017,Maintenance Engineer,"reliability, cmms, preventive maintenance, troubleshooting, vibration analysis",10.69,1015,"reliability, cmms",2,Senior
2024,Quality Engineer,"metrology, iso standards, capa, spc, root cause analysis",12.47,878,"spc, capa, metrology, root cause analysis, iso standards",5,Fresher
2018,HVAC Engineer,"revit mep, duct design, hvac design, load calculation",4.1,762,"load calculation, revit mep, hvac design, duct design",4,Mid
2015,HVAC Engineer,"hvac design, revit mep, load calculation, duct design, thermodynamics",21.81,713,"thermodynamics, hvac design, revit mep, load calculation",4,Fresher
2018,Manufacturing Engineer,"production planning, lean six sigma, cnc, process mapping, kaizen",18.5,484,"production planning, process mapping, kaizen",3,Fresher
2019,Robotics Automation Engineer,"robotics, safety pl, plc, scada, motion control",21.73,661,"motion control, plc, scada, safety pl, robotics",5,Senior
2018,Manufacturing Engineer,"lean six sigma, production planning, kaizen",10.76,852,"lean six sigma, kaizen, production planning, process mapping",4,Senior
2022,Quality Engineer,"metrology, capa, iso standards, spc, root cause analysis",5.22,693,"spc, iso standards, root cause analysis, capa",4,Senior
2024,CAE Engineer,"ansys, structural analysis, meshing, simulation, cfd",13.97,712,"simulation, meshing, structural analysis, cfd",4,Fresher
2017,CAE Engineer,"ansys, meshing, cfd, simulation",7.24,693,"ansys, simulation",2,Mid
2025,Quality Engineer,"iso standards, root cause analysis, spc, capa, metrology",16.93,702,"iso standards, spc, capa, metrology",4,Mid
2023,HVAC Engineer,"thermodynamics, duct design, revit mep, hvac design",9.86,688,"thermodynamics, hvac design",2,Senior
2019,Manufacturing Engineer,"kaizen, lean six sigma, process mapping, cnc",10.58,675,"kaizen, process mapping, cnc, production planning",4,Fresher
2021,Quality Engineer,"spc, capa, root cause analysis, metrology, iso standards",5.1,538,"root cause analysis, capa, iso standards",3,Fresher
2018,Manufacturing Engineer,"process mapping, kaizen, cnc",15.43,555,"kaizen, cnc",2,Mid
2018,HVAC Engineer,"thermodynamics, load calculation, duct design, revit mep, hvac design",19.94,431,"duct design, thermodynamics, revit mep, load calculation",4,Senior
2015,Design Engineer,"cad, mechanical design, gd and t, drafting, solidworks",21.05,700,"drafting, cad, solidworks, gd and t, fea",5,Fresher
2023,Project Engineer,"risk register, stakeholder management, budgeting, scheduling, ms project",13.42,1175,"ms project, stakeholder management, scheduling, risk register",4,Fresher
2016,Project Engineer,"scheduling, stakeholder management, risk register, ms project, budgeting",14.83,442,"stakeholder management, scheduling",2,Mid
2019,Design Engineer,"solidworks, drafting, cad, fea, gd and t",17.06,751,"drafting, fea, gd and t",3,Mid
2023,Manufacturing Engineer,"kaizen, production planning, process mapping",4.53,790,"kaizen, production planning, process mapping",3,Mid
2018,Quality Engineer,"root cause analysis, spc, capa, metrology",6.81,882,"spc, capa, root cause analysis, iso standards",4,Fresher
2025,Design Engineer,"fea, cad, mechanical design, drafting, gd and t, solidworks",6.82,754,"fea, gd and t, mechanical design",3,Fresher
2024,Design Engineer,"mechanical design, fea, gd and t, cad, solidworks, drafting",12.08,770,"mechanical design, gd and t",2,Fresher
2015,CAE Engineer,"simulation, ansys, meshing",3.53,379,"simulation, meshing, ansys",3,Mid
2018,Project Engineer,"ms project, budgeting, scheduling, risk register, stakeholder management",20.07,893,"risk register, ms project, stakeholder management, budgeting",4,Senior
2017,CAE Engineer,"meshing, ansys, cfd, structural analysis, simulation",8.9,554,"meshing, simulation",2,Fresher
2022,Robotics Automation Engineer,"scada, motion control, robotics, plc",10.13,500,"scada, plc, robotics, motion control, safety pl",5,Senior
2017,HVAC Engineer,"revit mep, load calculation, thermodynamics, duct design",16.66,743,"load calculation, thermodynamics, duct design, revit mep, hvac design",5,Fresher
2023,Robotics Automation Engineer,"scada, safety pl, plc, motion control",5.75,700,"motion control, safety pl",2,Fresher
2016,Design Engineer,"cad, mechanical design, fea, gd and t",21.95,922,"cad, fea, mechanical design",3,Fresher
2021,HVAC Engineer,"hvac design, thermodynamics, duct design, revit mep, load calculation",20.3,649,"revit mep, hvac design, load calculation, thermodynamics, duct design",5,Fresher
2021,Maintenance Engineer,"reliability, preventive maintenance, cmms, troubleshooting",11.26,587,"cmms, preventive maintenance, troubleshooting, reliability, vibration analysis",5,Fresher
2017,HVAC Engineer,"revit mep, load calculation, hvac design, duct design, thermodynamics",20.07,966,"thermodynamics, hvac design",2,Fresher
2019,Maintenance Engineer,"vibration analysis, cmms, troubleshooting",18.6,743,"vibration analysis, troubleshooting, cmms, preventive maintenance",4,Senior
2020,Design Engineer,"fea, cad, gd and t, solidworks",21.04,943,"gd and t, solidworks, cad, fea",4,Senior
2024,CAE Engineer,"simulation, structural analysis, ansys, cfd, meshing",18.42,616,"structural analysis, meshing, simulation, cfd",4,Fresher
2025,Robotics Automation Engineer,"scada, plc, motion control, safety pl, robotics",9.47,626,"scada, motion control, robotics",3,Mid
2015,Quality Engineer,"metrology, root cause analysis, spc, iso standards, capa",21.05,756,"capa, root cause analysis, iso standards, spc, metrology",5,Senior
2016,Project Engineer,"budgeting, scheduling, stakeholder management, ms project, risk register",15.27,742,"ms project, scheduling",2,Fresher
2015,Manufacturing Engineer,"kaizen, lean six sigma, cnc, process mapping, production planning",11.61,1266,"kaizen, cnc, lean six sigma, production planning",4,Mid
2024,Project Engineer,"stakeholder management, risk register, budgeting",11.85,522,"budgeting, risk register, stakeholder management",3,Fresher
2023,Design Engineer,"fea, drafting, solidworks, mechanical design, cad",9.75,452,"drafting, mechanical design, solidworks",3,Fresher
2018,CAE Engineer,"structural analysis, simulation, cfd, meshing, ansys",13.49,485,"structural analysis, ansys",2,Senior
