Year,Job_Name,Required_Skills,Avg_Salary_LPA,Job_Postings,User_Learned_Skills,Skill_Count,Experience_Level
2016,Protection Engineer,"distance protection, differential protection, setting study, ct pt sizing, relay settings",16.28,922,"setting study, ct pt sizing, differential protection",3,Mid
2024,Protection Engineer,"distance protection, differential protection, relay settings, ct pt sizing",4.59,669,"relay settings, distance protection",2,Mid
2019,Protection Engineer,"ct pt sizing, relay settings, differential protection, distance protection",9.89,723,"relay settings, distance protection, ct pt sizing, differential protection",4,Mid
2021,Electrical Maintenance Engineer,"motors, therography, preventive maintenance, troubleshooting",11.06,565,"troubleshooting, motors, therography, preventive maintenance",4,Fresher
2019,Control Systems Engineer,"scada, dcs, pid tuning",19.54,668,"scada, dcs",2,Fresher
2015,Substation Engineer,"transformers, grounding, substation design, clearance calculation, switchgear",10.83,950,"transformers, substation design, clearance calculation, switchgear",4,Senior
2017,Electrical Project Engineer,"electrical estimating, fat sat, method statement, commissioning",21.85,731,"method statement, fat sat, commissioning, electrical estimating",4,Fresher
2025,Protection Engineer,"distance protection, relay settings, setting study",8.59,708,"relay settings, distance protection, setting study, differential protection",4,Fresher
2024,Control Systems Engineer,"plc programming, pid tuning, scada",6.82,568,"plc programming, pid tuning, scada, ladder logic",4,Fresher
2025,Electrical Project Engineer,"method statement, electrical estimating, ms project, commissioning",10.53,786,"commissioning, ms project",2,Senior
2021,Electrical Maintenance Engineer,"troubleshooting, therography, motors, preventive maintenance",5.86,567,"preventive maintenance, motors, troubleshooting, therography",4,Fresher
2020,Substation Engineer,"grounding, clearance calculation, transformers",11.53,678,"grounding, clearance calculation, transformers",3,Senior
2025,Electrical Design Engineer,"cable sizing, nec codes, single line diagram",7.7,495,"single line diagram, cable sizing, nec codes",3,Fresher
2021,Renewable Energy Engineer,"mppt, inverters, solar pv design, grid integration, wind energy",14.01,356,"inverters, grid integration, wind energy, mppt",4,Senior
2021,Renewable Energy Engineer,"inverters, solar pv design, grid integration, wind energy, mppt",16.68,639,"grid integration, mppt, inverters, wind energy",4,Senior
2016,Protection Engineer,"differential protection, distance protection, ct pt sizing, relay settings",15.56,645,"differential protection, distance protection, relay settings, ct pt sizing",4,Fresher
2015,Power Systems Engineer,"short circuit analysis, power systems, relay coordination, etap",21.56,570,"power systems, relay coordination, short circuit analysis, etap",4,Mid
2025,Protection Engineer,"relay settings, distance protection, setting study",4.5,579,"setting study, distance protection, relay settings",3,Mid
2016,Electrical Project Engineer,"fat sat, method statement, commissioning, ms project",5.63,622,"commissioning, fat sat, ms project, method statement, electrical estimating",5,Senior
2018,Substation Engineer,"switchgear, grounding, transformers, substation design",11.91,710,"grounding, transformers, substation design",3,Fresher
2019,Substation Engineer,"clearance calculation, switchgear, grounding, substation design, transformers",16.34,802,"substation design, switchgear, transformers, grounding",4,Fresher
2015,Power Systems Engineer,"load flow, power systems, relay coordination, short circuit analysis",17.0,915,"power systems, short circuit analysis, relay coordination, load flow, etap",5,Senior
2015,Substation Engineer,"switchgear, grounding, substation design",16.33,479,"grounding, substation design",2,Fresher
2018,Electrical Project Engineer,"method statement, fat sat, electrical estimating, commissioning, ms project",17.76,236,"electrical estimating, commissioning, method statement",3,Fresher
2018,Protection Engineer,"setting study, relay settings, distance protection",10.6,885,"setting study, distance protection",2,Senior
2016,Electrical Project Engineer,"ms project, fat sat, electrical estimating",6.75,611,"electrical estimating, ms project, commissioning",3,Senior
2025,Substation Engineer,"grounding, switchgear, clearance calculation, transformers",21.68,982,"grounding, clearance calculation, switchgear",3,Mid
2018,Substation Engineer,"grounding, substation design, transformers, clearance calculation, switchgear",10.68,498,"grounding, transformers, clearance calculation",3,Senior
2017,Electrical Project Engineer,"fat sat, method statement, electrical estimating, commissioning, ms project",15.95,867,"fat sat, electrical estimating, commissioning",3,Fresher
2022,Protection Engineer,"distance protection, relay settings, setting study",10.68,1155,"setting study, relay settings, distance protection",3,Mid
2015,Renewable Energy Engineer,"inverters, grid integration, solar pv design, mppt, wind energy",15.71,1043,"wind energy, grid integration, inverters",3,Fresher
2015,Protection Engineer,"setting study, relay settings, ct pt sizing",15.39,944,"ct pt sizing, setting study, relay settings",3,Senior
2018,Electrical Design Engineer,"nec codes, cable sizing, autocad electrical",20.16,400,"nec codes, autocad electrical, cable sizing, single line diagram",4,Senior
2020,Control Systems Engineer,"dcs, plc programming, scada, ladder logic, pid tuning",15.75,1109,"dcs, scada, pid tuning, ladder logic, plc programming",5,Senior
2016,Electrical Maintenance Engineer,"therography, motors, vfd",15.66,829,"therography, motors",2,Mid
2015,Protection Engineer,"setting study, ct pt sizing, differential protection, distance protection",11.92,504,"distance protection, ct pt sizing, relay settings",3,Senior
2021,Electrical Maintenance Engineer,"motors, vfd, therography",16.61,747,"motors, therography, vfd",3,Mid
2025,Substation Engineer,"substation design, clearance calculation, grounding, switchgear, transformers",4.93,459,"transformers, grounding, clearance calculation, substation design, switchgear",5,Fresher
2019,Renewable Energy Engineer,"solar pv design, mppt, inverters",18.02,1075,"mppt, inverters, solar pv design, grid integration",4,Senior
2016,Substation Engineer,"grounding, substation design, transformers, switchgear",16.04,571,"switchgear, transformers, clearance calculation",3,Senior
2023,Control Systems Engineer,"plc programming, dcs, ladder logic, scada, pid tuning",5.87,1005,"dcs, scada, plc programming, pid tuning, ladder logic",5,Mid
2023,Electrical Design Engineer,"cable sizing, load calculation, single line diagram",13.86,974,"load calculation, single line diagram",2,Senior
2015,Electrical Project Engineer,"electrical estimating, ms project, commissioning, method statement",5.48,1081,"commissioning, ms project, electrical estimating",3,Mid
2023,Control Systems Engineer,"pid tuning, ladder logic, scada, plc programming, dcs",15.8,752,"pid tuning, scada, dcs, plc programming, ladder logic",5,Mid
2022,Substation Engineer,"transformers, switchgear, substation design, grounding",16.1,767,"substation design, switchgear, transformers, grounding",4,Mid
2021,Control Systems Engineer,"plc programming, ladder logic, dcs, pid tuning, scada",18.22,483,"pid tuning, ladder logic, plc programming",3,Senior
2016,Renewable Energy Engineer,"wind energy, solar pv design, grid integration",13.33,1146,"solar pv design, wind energy",2,Fresher
2017,Power Systems Engineer,"etap, short circuit analysis, power systems, relay coordination, load flow",5.38,349,"short circuit analysis, relay coordination, power systems, load flow, etap",5,Fresher
2020,Renewable Energy Engineer,"inverters, solar pv design, grid integration, wind energy",13.4,765,"wind energy, solar pv design, inverters, mppt",4,Senior
2018,Substation Engineer,"grounding, substation design, clearance calculation, transformers, switchgear",18.91,975,"transformers, clearance calculation, grounding",3,Senior
2021,Electrical Maintenance Engineer,"motors, preventive maintenance, vfd, therography",10.1,958,"motors, vfd, preventive maintenance, therography",4,Mid
2021,Protection Engineer,"distance protection, ct pt sizing, relay settings",17.61,662,"distance protection, relay settings",2,Senior
2018,Renewable Energy Engineer,"wind energy, inverters, grid integration, solar pv design, mppt",21.31,674,"inverters, grid integration",2,Senior
2017,Protection Engineer,"differential protection, distance protection, setting study, relay settings",16.5,763,"relay settings, setting study, distance protection, differential protection",4,Senior
2016,Substation Engineer,"switchgear, clearance calculation, transformers",13.33,214,"switchgear, transformers",2,Senior
2025,Renewable Energy Engineer,"inverters, grid integration, wind energy, mppt",8.02,871,"mppt, grid integration, inverters, wind energy",4,Fresher
2021,Electrical Maintenance Engineer,"vfd, preventive maintenance, therography",14.57,697,"therography, vfd, preventive maintenance, troubleshooting",4,Mid
2015,Electrical Maintenance Engineer,"therography, preventive maintenance, motors, troubleshooting",20.86,719,"therography, troubleshooting, preventive maintenance, motors, vfd",5,Senior
2019,Substation Engineer,"transformers, clearance calculation, grounding, switchgear",9.18,861,"switchgear, grounding, clearance calculation, transformers",4,Fresher
2016,Protection Engineer,"differential protection, ct pt sizing, distance protection, setting study, relay settings",10.58,464,"differential protection, ct pt sizing",2,Fresher
2017,Substation Engineer,"switchgear, grounding, clearance calculation, substation design",9.13,692,"switchgear, clearance calculation, substation design, grounding, transformers",5,Mid
2021,Electrical Design Engineer,"cable sizing, autocad electrical, load calculation, single line diagram, nec codes",5.62,992,"nec codes, single line diagram",2,Fresher
2022,Control Systems Engineer,"scada, ladder logic, dcs, plc programming, pid tuning",19.17,634,"dcs, scada, pid tuning, plc programming",4,Fresher
2018,Power Systems Engineer,"load flow, power systems, relay coordination",4.36,655,"power systems, relay coordination, load flow",3,Senior
2022,Electrical Maintenance Engineer,"therography, troubleshooting, motors, vfd",17.13,942,"therography, vfd, troubleshooting, motors, preventive maintenance",5,Senior
2022,Protection Engineer,"ct pt sizing, relay settings, setting study, distance protection",12.05,497,"ct pt sizing, relay settings, distance protection, setting study",4,Mid
2021,Protection Engineer,"differential protection, relay settings, ct pt sizing, setting study, distance protection",15.26,513,"setting study, ct pt sizing, differential protection",3,Fresher
2016,Protection Engineer,"ct pt sizing, distance protection, relay settings",12.08,521,"relay settings, ct pt sizing",2,Mid
2023,Protection Engineer,"differential protection, relay settings, setting study, distance protection, ct pt sizing",4.16,742,"relay settings, setting study, distance protection, ct pt sizing, differential protection",5,Mid
2017,Electrical Project Engineer,"method statement, ms project, electrical estimating, fat sat, commissioning",19.34,789,"commissioning, method statement, fat sat, ms project, electrical estimating",5,Senior
2024,Power Systems Engineer,"short circuit analysis, etap, load flow",5.04,704,"etap, short circuit analysis, load flow, power systems",4,Mid
2017,Electrical Project Engineer,"ms project, method statement, fat sat, electrical estimating, commissioning",13.97,656,"commissioning, ms project, fat sat",3,Fresher
2016,Substation Engineer,"clearance calculation, grounding, switchgear, transformers",17.01,903,"transformers, clearance calculation, switchgear, grounding",4,Fresher
2019,Electrical Maintenance Engineer,"motors, preventive maintenance, therography",3.93,789,"preventive maintenance, therography",2,Fresher
2017,Substation Engineer,"clearance calculation, substation design, transformers, switchgear, grounding",7.56,697,"switchgear, grounding",2,Mid
2016,Electrical Maintenance Engineer,"preventive maintenance, troubleshooting, therography, motors, vfd",7.85,672,"motors, therography, preventive maintenance",3,Fresher
2022,Renewable Energy Engineer,"solar pv design, wind energy, mppt",13.41,905,"mppt, solar pv design, wind energy, grid integration",4,Mid
2017,Protection Engineer,"differential protection, setting study, ct pt sizing",5.49,584,"ct pt sizing, differential protection, setting study",3,Mid
2016,Protection Engineer,"distance protection, setting study, differential protection",18.29,604,"differential protection, setting study, ct pt sizing",3,Fresher
2015,Protection Engineer,"ct pt sizing, differential protection, setting study, relay settings",18.27,487,"relay settings, ct pt sizing, differential protection, setting study",4,Senior
2025,Electrical Design Engineer,"load calculation, autocad electrical, nec codes",19.81,576,"nec codes, autocad electrical, load calculation",3,Fresher
2017,Control Systems Engineer,"pid tuning, dcs, plc programming, ladder logic, scada",20.2,667,"pid tuning, ladder logic, scada, dcs, plc programming",5,Senior
2018,Renewable Energy Engineer,"solar pv design, mppt, inverters, grid integration",3.5,883,"mppt, solar pv design, wind energy",3,Senior
2021,Power Systems Engineer,"power systems, load flow, relay coordination, etap, short circuit analysis",6.93,851,"short circuit analysis, power systems, etap",3,Mid
2024,Electrical Project Engineer,"electrical estimating, ms project, fat sat",6.16,683,"fat sat, electrical estimating, ms project",3,Mid
2019,Substation Engineer,"substation design, grounding, clearance calculation, switchgear, transformers",11.83,732,"transformers, substation design, grounding, switchgear, clearance calculation",5,Mid
2017,Substation Engineer,"grounding, transformers, switchgear, clearance calculation",9.74,609,"transformers, switchgear",2,Fresher
2021,Substation Engineer,"grounding, switchgear, substation design, clearance calculation",4.75,640,"switchgear, grounding",2,Fresher
2017,Protection Engineer,"ct pt sizing, relay settings, distance protection",15.17,728,"ct pt sizing, distance protection, relay settings",3,Fresher
2024,Power Systems Engineer,"relay coordination, power systems, etap",19.31,892,"relay coordination, etap, power systems",3,Senior
2025,Electrical Project Engineer,"electrical estimating, method statement, fat sat",15.02,592,"method statement, fat sat, electrical estimating",3,Senior
2020,Electrical Design Engineer,"nec codes, load calculation, cable sizing, autocad electrical",12.55,679,"autocad electrical, cable sizing",2,Senior
2017,Substation Engineer,"switchgear, clearance calculation, grounding, substation design",4.36,895,"clearance calculation, grounding, substation design",3,Mid
2015,Electrical Maintenance Engineer,"troubleshooting, therography, preventive maintenance, vfd",20.95,503,"preventive maintenance, troubleshooting",2,Fresher
2022,Renewable Energy Engineer,"solar pv design, wind energy, inverters",15.46,873,"wind energy, solar pv design, inverters",3,Mid
2023,Protection Engineer,"setting study, differential protection, relay settings, distance protection, ct pt sizing",13.91,385,"differential protection, relay settings, ct pt sizing",3,Mid
2018,Electrical Design Engineer,"cable sizing, load calculation, single line diagram, autocad electrical",14.05,553,"single line diagram, load calculation, autocad electrical, cable sizing, nec codes",5,Mid
2020,Electrical Design Engineer,"nec codes, autocad electrical, cable sizing, single line diagram, load calculation",12.17,680,"nec codes, load calculation",2,Mid
2017,Protection Engineer,"setting study, ct pt sizing, distance protection",8.12,387,"distance protection, setting study, relay settings",3,Fresher
2018,Substation Engineer,"grounding, clearance calculation, switchgear, transformers, substation design",9.47,365,"transformers, switchgear",2,Mid
2023,Electrical Maintenance Engineer,"troubleshooting, vfd, preventive maintenance, motors",18.0,601,"preventive maintenance, vfd, motors, troubleshooting",4,Mid
2022,Substation Engineer,"grounding, substation design, transformers",17.03,506,"transformers, substation design, grounding",3,Fresher
2020,Electrical Design Engineer,"load calculation, nec codes, autocad electrical",12.42,598,"load calculation, autocad electrical, nec codes, single line diagram",4,Senior
2018,Substation Engineer,"clearance calculation, switchgear, substation design, grounding",7.51,659,"grounding, switchgear, substation design, clearance calculation, transformers",5,Senior
2018,Protection Engineer,"distance protection, relay settings, setting study, ct pt sizing",16.63,693,"distance protection, relay settings, ct pt sizing, setting study",4,Mid
2023,Electrical Maintenance Engineer,"troubleshooting, therography, vfd, motors, preventive maintenance",20.16,710,"therography, troubleshooting, vfd, motors",4,Fresher
2016,Electrical Design Engineer,"load calculation, autocad electrical, cable sizing, single line diagram, nec codes",19.34,679,"load calculation, nec codes",2,Mid
2018,Electrical Project Engineer,"fat sat, ms project, method statement",18.64,784,"ms project, fat sat, method statement",3,Mid
2024,Electrical Design Engineer,"load calculation, cable sizing, nec codes",7.94,218,"nec codes, load calculation",2,Fresher
2018,Electrical Project Engineer,"electrical estimating, method statement, ms project, commissioning, fat sat",21.06,564,"ms project, commissioning, method statement",3,Senior
2016,Substation Engineer,"transformers, switchgear, substation design, clearance calculation",11.53,505,"clearance calculation, transformers, substation design, switchgear",4,Fresher
2025,Electrical Design Engineer,"cable sizing, autocad electrical, single line diagram",18.53,788,"single line diagram, autocad electrical, cable sizing",3,Senior
2023,Power Systems Engineer,"load flow, short circuit analysis, relay coordination",13.59,578,"relay coordination, load flow, short circuit analysis, etap",4,Senior
2025,Electrical Maintenance Engineer,"motors, preventive maintenance, therography, troubleshooting, vfd",11.19,452,"troubleshooting, therography, motors",3,Senior
2021,Electrical Maintenance Engineer,"troubleshooting, vfd, motors",19.36,762,"vfd, motors, troubleshooting, preventive maintenance",4,Fresher
2016,Protection Engineer,"distance protection, relay settings, setting study",14.05,858,"relay settings, setting study, distance protection, differential protection",4,Fresher
2025,Protection Engineer,"differential protection, ct pt sizing, relay settings",10.09,874,"relay settings, differential protection, ct pt sizing, setting study",4,Senior
2016,Electrical Design Engineer,"single line diagram, load calculation, nec codes, autocad electrical",6.24,491,"autocad electrical, single line diagram",2,Fresher
2025,Control Systems Engineer,"pid tuning, plc programming, scada, dcs, ladder logic",16.72,724,"scada, dcs, ladder logic, pid tuning, plc programming",5,Mid
2018,Substation Engineer,"substation design, grounding, switchgear, transformers",12.37,995,"transformers, substation design, grounding, switchgear",4,Fresher
2019,Electrical Maintenance Engineer,"troubleshooting, preventive maintenance, therography",9.49,691,"therography, troubleshooting, preventive maintenance, vfd",4,Senior
2023,Power Systems Engineer,"relay coordination, load flow, etap, short circuit analysis",3.64,626,"short circuit analysis, etap, relay coordination",3,Fresher
2019,Protection Engineer,"distance protection, differential protection, ct pt sizing",4.27,715,"distance protection, ct pt sizing, differential protection",3,Fresher
2016,Electrical Design Engineer,"load calculation, autocad electrical, nec codes, cable sizing, single line diagram",13.51,469,"cable sizing, single line diagram",2,Fresher
2024,Control Systems Engineer,"dcs, pid tuning, scada, plc programming, ladder logic",15.43,704,"scada, dcs, plc programming",3,Fresher
2017,Electrical Design Engineer,"autocad electrical, nec codes, cable sizing",4.32,797,"autocad electrical, nec codes",2,Mid
2023,Control Systems Engineer,"scada, plc programming, dcs, pid tuning, ladder logic",5.27,548,"ladder logic, scada",2,Fresher
2025,Renewable Energy Engineer,"grid integration, mppt, solar pv design, inverters, wind energy",20.09,1204,"grid integration, solar pv design, inverters, wind energy, mppt",5,Fresher
2024,Renewable Energy Engineer,"grid integration, solar pv design, mppt, inverters",9.73,497,"solar pv design, inverters, grid integration",3,Fresher
2019,Power Systems Engineer,"load flow, short circuit analysis, power systems",5.49,786,"short circuit analysis, power systems, load flow, etap",4,Senior
2021,Protection Engineer,"differential protection, distance protection, setting study, relay settings, ct pt sizing",7.98,371,"distance protection, ct pt sizing, relay settings",3,Fresher
2024,Electrical Maintenance Engineer,"therography, motors, troubleshooting, vfd, preventive maintenance",11.67,785,"troubleshooting, vfd, preventive maintenance, motors, therography",5,Mid
2022,Substation Engineer,"clearance calculation, transformers, substation design, switchgear, grounding",10.46,703,"transformers, switchgear, clearance calculation, substation design, grounding",5,Senior
2015,Power Systems Engineer,"etap, power systems, relay coordination, short circuit analysis",7.96,692,"short circuit analysis, relay coordination, etap, power systems",4,Mid
2015,Electrical Maintenance Engineer,"therography, vfd, troubleshooting, motors, preventive maintenance",9.9,831,"motors, troubleshooting, therography, vfd, preventive maintenance",5,Mid
2020,Electrical Design Engineer,"single line diagram, nec codes, autocad electrical, load calculation, cable sizing",6.26,393,"cable sizing, autocad electrical",2,Senior
2024,Renewable Energy Engineer,"grid integration, wind energy, inverters, mppt",5.57,1046,"mppt, wind energy, grid integration, inverters, solar pv design",5,Fresher
2015,Power Systems Engineer,"power systems, relay coordination, short circuit analysis",4.24,295,"relay coordination, short circuit analysis, power systems, etap",4,Fresher
2021,Renewable Energy Engineer,"mppt, solar pv design, inverters",6.51,825,"mppt, inverters",2,Fresher
2024,Power Systems Engineer,"etap, relay coordination, power systems",21.47,597,"etap, power systems, relay coordination",3,Fresher
2017,Renewable Energy Engineer,"mppt, grid integration, inverters, solar pv design",14.1,805,"mppt, grid integration, inverters",3,Fresher
2016,Renewable Energy Engineer,"wind energy, grid integration, mppt, inverters",6.32,448,"grid integration, wind energy, inverters",3,Fresher
2020,Control Systems Engineer,"scada, plc programming, ladder logic, dcs",18.45,371,"plc programming, dcs, scada, ladder logic, pid tuning",5,Mid
2024,Protection Engineer,"ct pt sizing, distance protection, setting study, relay settings",14.5,726,"relay settings, ct pt sizing, distance protection, setting study",4,Fresher
2024,Electrical Maintenance Engineer,"preventive maintenance, troubleshooting, vfd, therography, motors",6.92,609,"troubleshooting, vfd, preventive maintenance",3,Mid
2025,Electrical Project Engineer,"method statement, commissioning, ms project, electrical estimating, fat sat",13.27,779,"ms project, method statement, fat sat, commissioning",4,Mid
2017,Electrical Project Engineer,"fat sat, commissioning, method statement, ms project, electrical estimating",18.33,574,"commissioning, electrical estimating, fat sat",3,Senior
2022,Renewable Energy Engineer,"mppt, wind energy, grid integration, inverters, solar pv design",3.63,515,"wind energy, solar pv design, inverters, mppt, grid integration",5,Senior
2025,Substation Engineer,"substation design, grounding, clearance calculation, switchgear",18.28,610,"grounding, switchgear, clearance calculation, substation design",4,Senior
2018,Electrical Maintenance Engineer,"troubleshooting, motors, preventive maintenance, therography, vfd",10.49,595,"motors, preventive maintenance",2,Mid
2021,Protection Engineer,"distance protection, setting study, ct pt sizing",5.95,795,"distance protection, ct pt sizing, setting study",3,Mid
2018,Control Systems Engineer,"pid tuning, scada, ladder logic",6.27,677,"scada, ladder logic, pid tuning",3,Mid
2021,Renewable Energy Engineer,"inverters, grid integration, wind energy, mppt, solar pv design",11.79,560,"grid integration, wind energy, solar pv design, mppt",4,Mid
2021,Renewable Energy Engineer,"solar pv design, wind energy, mppt",5.31,823,"mppt, solar pv design, wind energy",3,Fresher
2017,Electrical Project Engineer,"fat sat, ms project, method statement, commissioning",9.65,1108,"ms project, commissioning, method statement, fat sat",4,Fresher
2025,Electrical Design Engineer,"single line diagram, load calculation, nec codes, autocad electrical",18.09,584,"single line diagram, load calculation, nec codes, autocad electrical",4,Senior
2015,Electrical Design Engineer,"cable sizing, autocad electrical, nec codes, load calculation",15.07,1044,"nec codes, load calculation, cable sizing, autocad electrical, single line diagram",5,Senior
2023,Electrical Maintenance Engineer,"motors, therography, preventive maintenance, vfd",7.04,655,"therography, motors, preventive maintenance, vfd",4,Mid
2016,Electrical Maintenance Engineer,"preventive maintenance, vfd, motors, therography, troubleshooting",9.58,448,"therography, troubleshooting, motors, vfd",4,Mid
2025,Electrical Design Engineer,"cable sizing, nec codes, autocad electrical, load calculation, single line diagram",14.08,1121,"nec codes, load calculation",2,Fresher
2015,Protection Engineer,"relay settings, ct pt sizing, distance protection",11.13,459,"relay settings, distance protection, ct pt sizing, differential protection",4,Fresher
2017,Protection Engineer,"distance protection, setting study, differential protection",4.87,679,"setting study, differential protection, distance protection",3,Senior
2019,Substation Engineer,"transformers, substation design, switchgear",8.01,779,"substation design, transformers, switchgear",3,Senior
2021,Protection Engineer,"ct pt sizing, differential protection, relay settings, setting study",5.65,644,"setting study, ct pt sizing, relay settings",3,Fresher
2023,Protection Engineer,"relay settings, setting study, distance protection, differential protection",13.13,655,"distance protection, setting study",2,Mid
2016,Substation Engineer,"grounding, transformers, substation design",19.39,713,"substation design, transformers, grounding, clearance calculation",4,Fresher
2016,Power Systems Engineer,"power systems, load flow, short circuit analysis, etap, relay coordination",16.94,868,"relay coordination, load flow",2,Senior
2015,Control Systems Engineer,"pid tuning, dcs, plc programming, scada, ladder logic",12.38,1156,"pid tuning, dcs",2,Senior
2022,Electrical Design Engineer,"nec codes, cable sizing, autocad electrical, single line diagram, load calculation",4.24,741,"load calculation, single line diagram, nec codes",3,Fresher
2017,Electrical Maintenance Engineer,"preventive maintenance, therography, troubleshooting, motors, vfd",8.82,153,"preventive maintenance, troubleshooting, vfd, motors, therography",5,Senior
2015,Electrical Maintenance Engineer,"troubleshooting, therography, vfd, preventive maintenance, motors",10.05,734,"motors, vfd, therography, troubleshooting",4,Senior
2015,Control Systems Engineer,"dcs, ladder logic, pid tuning, plc programming, scada",4.08,566,"ladder logic, dcs, scada",3,Senior
2018,Electrical Project Engineer,"method statement, commissioning, fat sat, electrical estimating",21.92,371,"commissioning, method statement",2,Fresher
2021,Protection Engineer,"distance protection, relay settings, differential protection, ct pt sizing",16.3,266,"relay settings, distance protection, ct pt sizing, differential protection",4,Senior
2025,Protection Engineer,"ct pt sizing, relay settings, differential protection",14.52,636,"relay settings, ct pt sizing",2,Fresher
2023,Electrical Maintenance Engineer,"vfd, troubleshooting, motors",10.55,251,"motors, vfd, troubleshooting",3,Fresher
2017,Power Systems Engineer,"relay coordination, load flow, etap, power systems, short circuit analysis",18.34,670,"load flow, short circuit analysis, relay coordination",3,Senior
2025,Power Systems Engineer,"short circuit analysis, load flow, power systems, relay coordination",9.16,692,"power systems, relay coordination, etap",3,Fresher
2019,Renewable Energy Engineer,"mppt, wind energy, inverters",5.94,867,"wind energy, mppt",2,Mid
2016,Electrical Maintenance Engineer,"preventive maintenance, therography, troubleshooting, motors",15.79,1069,"troubleshooting, therography, preventive maintenance, motors",4,Fresher
2020,Protection Engineer,"distance protection, ct pt sizing, setting study, relay settings",12.98,539,"distance protection, setting study",2,Senior
2024,Control Systems Engineer,"pid tuning, ladder logic, scada, dcs, plc programming",11.55,606,"plc programming, scada, dcs, pid tuning, ladder logic",5,Senior
2023,Protection Engineer,"relay settings, distance protection, ct pt sizing",19.36,582,"relay settings, ct pt sizing",2,Fresher
2019,Electrical Design Engineer,"nec codes, load calculation, autocad electrical, single line diagram, cable sizing",16.19,816,"single line diagram, cable sizing, autocad electrical",3,Mid
2018,Control Systems Engineer,"dcs, scada, pid tuning, ladder logic",19.66,711,"dcs, ladder logic, scada, pid tuning",4,Senior
2024,Protection Engineer,"differential protection, setting study, relay settings, ct pt sizing, distance protection",18.57,813,"distance protection, relay settings, differential protection, setting study, ct pt sizing",5,Fresher
2020,Electrical Design Engineer,"autocad electrical, nec codes, load calculation, cable sizing",10.99,496,"nec codes, autocad electrical, load calculation, single line diagram",4,Senior
2022,Control Systems Engineer,"plc programming, pid tuning, ladder logic",21.2,1003,"pid tuning, plc programming, ladder logic, dcs",4,Fresher
2018,Electrical Design Engineer,"autocad electrical, load calculation, nec codes, cable sizing, single line diagram",4.75,834,"autocad electrical, load calculation",2,Fresher
2016,Electrical Maintenance Engineer,"vfd, preventive maintenance, troubleshooting, motors",4.74,615,"motors, vfd, troubleshooting",3,Mid
2024,Protection Engineer,"ct pt sizing, relay settings, differential protection, setting study",5.97,797,"differential protection, ct pt sizing, relay settings",3,Senior
2021,Electrical Design Engineer,"load calculation, nec codes, autocad electrical",4.91,813,"load calculation, nec codes, autocad electrical",3,Senior
2015,Control Systems Engineer,"dcs, scada, ladder logic",7.95,667,"ladder logic, dcs, scada, pid tuning",4,Mid
