Year,Job_Name,Required_Skills,Avg_Salary_LPA,Job_Postings,User_Learned_Skills,Skill_Count,Experience_Level
2023,Credit Analyst,"cash flow analysis, covenants, industry research, credit memo",12.08,699,"industry research, cash flow analysis, credit memo, covenants, financial ratios",5,Mid
2019,Chartered Accountant,"auditing, ind as, internal audit",8.85,551,"auditing, ind as, internal audit",3,Fresher
2018,Investment Banker,"valuation, pitch books, m and a",7.98,773,"valuation, m and a, pitch books",3,Senior
2019,Tax Consultant,"gst, income tax, tax planning, transfer pricing",16.79,756,"tax planning, transfer pricing, income tax",3,Mid
2024,Financial Analyst,"financial modeling, excel, variance analysis",15.68,639,"financial modeling, excel, variance analysis, dashboards",4,Senior
2023,Credit Analyst,"financial ratios, covenants, industry research",13.71,833,"covenants, industry research, financial ratios, cash flow analysis",4,Senior
2016,Portfolio Manager,"equity research, fixed income, performance attribution, bloomberg, asset allocation",5.19,761,"performance attribution, fixed income, asset allocation",3,Mid
2025,Investment Banker,"m and a, due diligence, valuation, excel advanced",18.54,706,"valuation, due diligence, m and a, excel advanced",4,Fresher
2025,Investment Banker,"m and a, pitch books, valuation, excel advanced",10.44,635,"valuation, pitch books, excel advanced, m and a",4,Senior
2021,Investment Banker,"valuation, pitch books, excel advanced",18.88,701,"excel advanced, valuation, m and a",3,Fresher
2024,Portfolio Manager,"asset allocation, fixed income, bloomberg, performance attribution, equity research",20.42,728,"performance attribution, equity research",2,Fresher
2017,Investment Banker,"pitch books, due diligence, m and a, valuation, excel advanced",12.26,884,"excel advanced, m and a",2,Mid
2020,Credit Analyst,"industry research, credit memo, financial ratios, covenants",16.26,701,"financial ratios, industry research",2,Fresher
2019,Tax Consultant,"litigation support, tax planning, gst, income tax",21.35,901,"litigation support, tax planning, gst, income tax",4,Mid
2017,Financial Analyst,"variance analysis, dashboards, forecasting, financial modeling",19.77,868,"forecasting, financial modeling, variance analysis, dashboards",4,Senior
2017,Tax Consultant,"litigation support, income tax, transfer pricing, gst, tax planning",4.82,548,"transfer pricing, litigation support",2,Senior
2017,Financial Controller,"erp finance, management accounting, internal controls, budgeting, consolidation",4.47,842,"budgeting, consolidation, internal controls",3,Mid
2020,Risk Analyst,"basel norms, credit risk, var, stress testing",20.12,613,"basel norms, credit risk",2,Mid
2020,Financial Analyst,"financial modeling, excel, dashboards, forecasting",19.76,772,"dashboards, financial modeling, excel",3,Fresher
2016,Chartered Accountant,"internal audit, auditing, tax compliance, ind as, financial statements",5.63,600,"financial statements, auditing, internal audit, tax compliance, ind as",5,Mid
2024,Investment Banker,"pitch books, excel advanced, valuation, m and a",4.87,961,"m and a, excel advanced, valuation, pitch books",4,Senior
2021,Chartered Accountant,"ind as, tax compliance, financial statements",10.19,373,"tax compliance, ind as, financial statements, auditing",4,Senior
2020,Tax Consultant,"litigation support, gst, tax planning, income tax",3.7,860,"litigation support, gst, income tax",3,Fresher
2016,Financial Analyst,"dashboards, financial modeling, excel, forecasting, variance analysis",17.23,742,"dashboards, financial modeling, variance analysis, excel",4,Fresher
2015,Investment Banker,"valuation, due diligence, pitch books, excel advanced, m and a",21.06,656,"due diligence, m and a",2,Fresher
2017,Risk Analyst,"stress testing, credit risk, var",5.05,637,"var, credit risk, stress testing",3,Fresher
2018,Credit Analyst,"financial ratios, credit memo, industry research, cash flow analysis, covenants",13.15,612,"industry research, financial ratios, covenants, credit memo, cash flow analysis",5,Senior
2019,Financial Analyst,"variance analysis, forecasting, financial modeling, dashboards, excel",21.46,845,"dashboards, excel, financial modeling",3,Fresher
2025,Tax Consultant,"gst, transfer pricing, tax planning, income tax",11.41,546,"tax planning, gst, transfer pricing",3,Mid
2019,Risk Analyst,"credit risk, risk reporting, stress testing",13.35,766,"stress testing, risk reporting, credit risk",3,Mid
2024,Risk Analyst,"stress testing, basel norms, risk reporting, credit risk, var",7.57,669,"var, credit risk, basel norms",3,Senior
2015,Portfolio Manager,"bloomberg, equity research, fixed income, performance attribution, asset allocation",10.5,839,"fixed income, asset allocation, bloomberg, performance attribution, equity research",5,Senior
2021,Financial Controller,"management accounting, budgeting, erp finance",20.55,495,"erp finance, budgeting, management accounting, internal controls",4,Fresher
2017,Credit Analyst,"covenants, credit memo, cash flow analysis, financial ratios",21.32,552,"credit memo, cash flow analysis, covenants, financial ratios",4,Mid
2025,Tax Consultant,"tax planning, income tax, transfer pricing, litigation support",18.7,759,"litigation support, tax planning, income tax",3,Mid
2022,Financial Controller,"consolidation, budgeting, management accounting, internal controls, erp finance",18.09,189,"erp finance, internal controls, budgeting",3,Fresher
2019,Portfolio Manager,"equity research, performance attribution, asset allocation, fixed income, bloomberg",18.06,837,"bloomberg, equity research",2,Fresher
2016,Chartered Accountant,"internal audit, auditing, tax compliance",13.03,620,"tax compliance, internal audit, auditing",3,Mid
2020,Risk Analyst,"risk reporting, credit risk, stress testing",21.63,503,"stress testing, credit risk, risk reporting",3,Mid
2020,Credit Analyst,"industry research, covenants, cash flow analysis, credit memo, financial ratios",17.51,594,"industry research, financial ratios, cash flow analysis, credit memo, covenants",5,Senior
2017,Investment Banker,"m and a, pitch books, valuation, due diligence",6.19,693,"m and a, due diligence, pitch books, valuation",4,Senior
2025,Financial Controller,"management accounting, budgeting, consolidation",15.79,794,"management accounting, consolidation",2,Mid
2015,Financial Controller,"budgeting, erp finance, internal controls, management accounting",16.86,588,"management accounting, internal controls, budgeting, erp finance",4,Mid
2020,Portfolio Manager,"performance attribution, equity research, bloomberg, fixed income, asset allocation",16.88,614,"equity research, bloomberg, performance attribution, fixed income",4,Senior
2016,Portfolio Manager,"performance attribution, equity research, asset allocation, fixed income, bloomberg",4.74,788,"equity research, performance attribution, asset allocation, bloomberg",4,Fresher
2025,Credit Analyst,"covenants, credit memo, cash flow analysis, financial ratios",21.53,597,"financial ratios, covenants, credit memo, cash flow analysis",4,Fresher
2022,Risk Analyst,"var, stress testing, basel norms, credit risk, risk reporting",13.85,885,"credit risk, stress testing, risk reporting, var, basel norms",5,Fresher
2016,Chartered Accountant,"auditing, tax compliance, ind as, internal audit",8.98,277,"tax compliance, ind as, auditing, internal audit",4,Fresher
2017,Financial Controller,"internal controls, management accounting, budgeting, consolidation",7.7,838,"internal controls, consolidation, budgeting",3,Senior
2023,Investment Banker,"m and a, excel advanced, valuation",7.23,660,"m and a, valuation, excel advanced, due diligence",4,Senior
2018,Risk Analyst,"credit risk, risk reporting, var, basel norms, stress testing",8.41,821,"risk reporting, var",2,Mid
2023,Portfolio Manager,"fixed income, performance attribution, bloomberg, asset allocation, equity research",14.85,680,"bloomberg, equity research, asset allocation, fixed income, performance attribution",5,Senior
2015,Investment Banker,"valuation, excel advanced, due diligence",17.12,579,"excel advanced, valuation, due diligence",3,Mid
2021,Investment Banker,"pitch books, m and a, valuation, due diligence, excel advanced",7.08,580,"due diligence, m and a, excel advanced",3,Mid
2015,Credit Analyst,"industry research, credit memo, cash flow analysis, covenants, financial ratios",13.15,428,"credit memo, financial ratios",2,Senior
2025,Financial Controller,"management accounting, erp finance, internal controls, budgeting",20.61,839,"erp finance, budgeting, internal controls",3,Fresher
2024,Financial Analyst,"variance analysis, forecasting, excel, financial modeling",7.71,725,"excel, financial modeling, variance analysis",3,Mid
2019,Portfolio Manager,"equity research, bloomberg, fixed income",8.88,671,"bloomberg, equity research, fixed income, performance attribution",4,Mid
2021,Portfolio Manager,"fixed income, equity research, bloomberg, performance attribution",13.52,740,"fixed income, bloomberg, equity research, performance attribution, asset allocation",5,Mid
2020,Financial Controller,"consolidation, management accounting, internal controls, erp finance",21.62,813,"erp finance, consolidation, management accounting, internal controls, budgeting",5,Fresher
2024,Risk Analyst,"basel norms, risk reporting, credit risk",19.33,478,"risk reporting, credit risk, basel norms, stress testing",4,Senior
2023,Portfolio Manager,"fixed income, bloomberg, performance attribution, asset allocation, equity research",18.96,681,"asset allocation, performance attribution",2,Mid
2016,Tax Consultant,"tax planning, transfer pricing, litigation support",16.04,671,"tax planning, litigation support, transfer pricing",3,Fresher
2019,Chartered Accountant,"ind as, tax compliance, auditing, internal audit",13.59,448,"internal audit, ind as, auditing, tax compliance, financial statements",5,Senior
2020,Chartered Accountant,"ind as, financial statements, tax compliance, auditing",9.32,774,"ind as, tax compliance, auditing, financial statements",4,Fresher
2018,Chartered Accountant,"ind as, tax compliance, auditing, financial statements, internal audit",21.99,813,"auditing, ind as, financial statements, internal audit, tax compliance",5,Senior
2021,Credit Analyst,"covenants, industry research, financial ratios",5.21,784,"industry research, covenants, credit memo",3,Fresher
2021,Portfolio Manager,"asset allocation, bloomberg, fixed income, performance attribution",21.13,592,"bloomberg, fixed income, asset allocation, performance attribution",4,Senior
2019,Chartered Accountant,"financial statements, internal audit, ind as, auditing",20.34,897,"ind as, internal audit",2,Fresher
2018,Financial Analyst,"excel, financial modeling, dashboards",16.48,1313,"excel, financial modeling, dashboards, variance analysis",4,Senior
2015,Investment Banker,"due diligence, m and a, valuation, pitch books, excel advanced",17.94,666,"excel advanced, due diligence, m and a, valuation",4,Mid
2020,Financial Controller,"internal controls, erp finance, management accounting",17.85,940,"erp finance, management accounting, internal controls",3,Fresher
2015,Financial Analyst,"variance analysis, forecasting, financial modeling, excel, dashboards",20.6,792,"excel, variance analysis, financial modeling",3,Mid
2016,Portfolio Manager,"asset allocation, equity research, performance attribution, bloomberg, fixed income",7.71,886,"asset allocation, fixed income, performance attribution, bloomberg, equity research",5,Senior
2015,Risk Analyst,"stress testing, basel norms, var, credit risk, risk reporting",21.73,732,"basel norms, risk reporting, credit risk, stress testing, var",5,Senior
2019,Credit Analyst,"industry research, cash flow analysis, financial ratios",9.31,780,"industry research, financial ratios, cash flow analysis",3,Senior
2024,Financial Analyst,"variance analysis, excel, financial modeling, forecasting",11.46,459,"financial modeling, excel, forecasting, variance analysis, dashboards",5,Mid
2025,Financial Analyst,"variance analysis, forecasting, excel, financial modeling, dashboards",10.26,984,"variance analysis, forecasting, excel",3,Fresher
2016,Financial Controller,"budgeting, erp finance, consolidation",13.0,697,"erp finance, consolidation",2,Senior
2023,Risk Analyst,"credit risk, var, stress testing, basel norms, risk reporting",12.61,978,"var, risk reporting, basel norms",3,Senior
2015,Tax Consultant,"gst, income tax, tax planning",7.0,1015,"gst, tax planning, income tax, litigation support",4,Mid
2021,Investment Banker,"pitch books, m and a, excel advanced",15.33,514,"excel advanced, m and a, pitch books",3,Fresher
2022,Credit Analyst,"financial ratios, industry research, cash flow analysis, covenants, credit memo",8.92,700,"cash flow analysis, financial ratios",2,Fresher
2021,Risk Analyst,"credit risk, risk reporting, var, basel norms",17.14,714,"risk reporting, basel norms, var, credit risk",4,Fresher
2023,Risk Analyst,"var, stress testing, risk reporting, basel norms",12.34,1102,"stress testing, basel norms, risk reporting, var",4,Mid
2015,Credit Analyst,"credit memo, industry research, cash flow analysis, financial ratios, covenants",11.31,718,"financial ratios, cash flow analysis, covenants, industry research",4,Senior
2019,Tax Consultant,"tax planning, gst, income tax",17.85,568,"tax planning, gst, income tax",3,Mid
2025,Risk Analyst,"basel norms, credit risk, stress testing, var",3.62,1217,"basel norms, stress testing, credit risk, var",4,Mid
2024,Investment Banker,"valuation, due diligence, pitch books, m and a",12.51,723,"valuation, pitch books, due diligence, m and a",4,Mid
2019,Portfolio Manager,"equity research, asset allocation, bloomberg",19.88,494,"asset allocation, equity research, performance attribution",3,Senior
2019,Risk Analyst,"basel norms, stress testing, credit risk, risk reporting, var",15.62,488,"var, risk reporting, stress testing",3,Mid
2022,Portfolio Manager,"performance attribution, fixed income, asset allocation",17.48,605,"fixed income, asset allocation, performance attribution",3,Mid
2023,Risk Analyst,"risk reporting, stress testing, var",15.71,552,"var, risk reporting",2,Fresher
2024,Financial Analyst,"excel, variance analysis, forecasting",18.81,891,"excel, variance analysis, financial modeling",3,Fresher
2019,Credit Analyst,"industry research, cash flow analysis, financial ratios",21.17,522,"cash flow analysis, industry research, financial ratios",3,Senior
2020,Financial Analyst,"dashboards, excel, forecasting, financial modeling",15.06,788,"dashboards, forecasting, financial modeling, excel, variance analysis",5,Senior
2017,Chartered Accountant,"tax compliance, auditing, internal audit, financial statements",17.22,874,"auditing, internal audit, financial statements, tax compliance, ind as",5,Senior
2018,Tax Consultant,"transfer pricing, income tax, tax planning, gst",14.15,750,"income tax, transfer pricing, tax planning, gst, litigation support",5,Senior
2018,Credit Analyst,"financial ratios, covenants, credit memo, industry research",12.91,510,"credit memo, industry research, financial ratios, covenants",4,Fresher
2021,Investment Banker,"m and a, excel advanced, valuation, due diligence",19.08,740,"excel advanced, due diligence",2,Senior
2018,Financial Analyst,"variance analysis, financial modeling, dashboards, forecasting",4.05,897,"financial modeling, dashboards",2,Fresher
2019,Credit Analyst,"covenants, cash flow analysis, industry research, financial ratios",6.92,479,"industry research, financial ratios, cash flow analysis",3,Mid
2023,Financial Controller,"budgeting, consolidation, internal controls, erp finance, management accounting",11.9,864,"management accounting, consolidation, erp finance, internal controls",4,Fresher
2018,Financial Analyst,"excel, financial modeling, variance analysis, dashboards, forecasting",14.56,623,"financial modeling, excel, variance analysis",3,Fresher
2023,Credit Analyst,"credit memo, industry research, covenants, cash flow analysis",6.23,819,"covenants, industry research, credit memo, cash flow analysis",4,Fresher
2017,Financial Controller,"budgeting, internal controls, consolidation, management accounting, erp finance",9.54,362,"budgeting, management accounting, erp finance, internal controls",4,Mid
2019,Chartered Accountant,"tax compliance, auditing, financial statements, internal audit",14.64,571,"financial statements, auditing, internal audit, tax compliance, ind as",5,Senior
2017,Risk Analyst,"risk reporting, stress testing, credit risk, basel norms",17.82,656,"basel norms, credit risk, stress testing",3,Mid
2018,Risk Analyst,"basel norms, stress testing, credit risk, var, risk reporting",7.34,809,"var, risk reporting, basel norms, credit risk",4,Mid
2023,Risk Analyst,"var, risk reporting, basel norms",19.13,429,"basel norms, risk reporting, var",3,Senior
2017,Financial Controller,"erp finance, budgeting, consolidation, management accounting, internal controls",8.71,970,"internal controls, budgeting",2,Fresher
2019,Tax Consultant,"gst, tax planning, transfer pricing, litigation support",18.87,794,"transfer pricing, tax planning, gst",3,Mid
2025,Investment Banker,"pitch books, m and a, valuation, excel advanced",9.82,701,"valuation, m and a, excel advanced, pitch books, due diligence",5,Fresher
2025,Credit Analyst,"financial ratios, cash flow analysis, covenants, industry research, credit memo",9.58,862,"financial ratios, industry research, cash flow analysis, credit memo, covenants",5,Mid
2020,Investment Banker,"due diligence, excel advanced, m and a, pitch books, valuation",10.34,1023,"excel advanced, pitch books, valuation, m and a, due diligence",5,Fresher
2015,Financial Analyst,"forecasting, financial modeling, variance analysis, excel",20.73,583,"variance analysis, financial modeling, excel, forecasting, dashboards",5,Mid
2016,Investment Banker,"m and a, pitch books, excel advanced, valuation, due diligence",5.05,604,"pitch books, m and a",2,Senior
2016,Chartered Accountant,"financial statements, internal audit, ind as, tax compliance, auditing",20.04,852,"auditing, financial statements, tax compliance, internal audit",4,Mid
2017,Chartered Accountant,"auditing, tax compliance, internal audit, financial statements, ind as",16.42,404,"internal audit, financial statements",2,Senior
2025,Tax Consultant,"income tax, transfer pricing, gst",5.25,1021,"income tax, gst, transfer pricing",3,Senior
2021,Investment Banker,"pitch books, valuation, due diligence",20.48,673,"valuation, pitch books, due diligence",3,Fresher
2022,Risk Analyst,"stress testing, risk reporting, credit risk, basel norms",21.1,831,"credit risk, stress testing, basel norms, risk reporting",4,Senior
2023,Investment Banker,"pitch books, m and a, excel advanced, valuation",4.3,695,"pitch books, m and a, valuation",3,Senior
2020,Credit Analyst,"credit memo, industry research, cash flow analysis, covenants, financial ratios",20.34,1021,"cash flow analysis, financial ratios, credit memo",3,Senior
2016,Investment Banker,"excel advanced, pitch books, valuation, m and a, due diligence",6.39,837,"pitch books, excel advanced",2,Mid
2017,Chartered Accountant,"tax compliance, financial statements, ind as, auditing",15.75,935,"ind as, auditing, tax compliance, financial statements",4,Senior
2018,Credit Analyst,"cash flow analysis, industry research, credit memo, covenants",7.03,628,"industry research, covenants, cash flow analysis, credit memo",4,Mid
2021,Portfolio Manager,"bloomberg, equity research, asset allocation, fixed income",9.5,538,"asset allocation, bloomberg, equity research",3,Senior
2022,Portfolio Manager,"asset allocation, fixed income, bloomberg",15.87,442,"fixed income, bloomberg, asset allocation",3,Fresher
2023,Financial Analyst,"excel, dashboards, variance analysis, forecasting",21.72,547,"excel, variance analysis, dashboards, forecasting, financial modeling",5,Senior
2025,Credit Analyst,"industry research, credit memo, covenants, financial ratios, cash flow analysis",16.96,988,"covenants, cash flow analysis, industry research",3,Senior
2019,Tax Consultant,"transfer pricing, gst, litigation support, tax planning",6.9,397,"transfer pricing, gst, litigation support, tax planning",4,Mid
2019,Tax Consultant,"income tax, litigation support, tax planning, transfer pricing, gst",9.99,862,"litigation support, tax planning, gst",3,Fresher
2015,Chartered Accountant,"internal audit, financial statements, auditing, ind as",14.14,657,"ind as, auditing, internal audit, financial statements",4,Fresher
2018,Chartered Accountant,"financial statements, auditing, ind as, tax compliance",20.56,640,"ind as, tax compliance, financial statements, auditing, internal audit",5,Mid
2022,Investment Banker,"valuation, m and a, pitch books, due diligence, excel advanced",6.25,572,"excel advanced, pitch books, m and a, valuation, due diligence",5,Fresher
2025,Credit Analyst,"financial ratios, covenants, industry research, credit memo",14.45,816,"covenants, credit memo",2,Senior
2019,Credit Analyst,"financial ratios, covenants, cash flow analysis",5.22,617,"cash flow analysis, covenants",2,Fresher
2018,Chartered Accountant,"financial statements, ind as, auditing",11.68,680,"ind as, auditing, financial statements",3,Mid
2017,Credit Analyst,"cash flow analysis, financial ratios, covenants, credit memo, industry research",9.37,409,"credit memo, financial ratios, cash flow analysis, industry research, covenants",5,Fresher
2015,Financial Analyst,"variance analysis, financial modeling, forecasting",14.03,592,"variance analysis, forecasting, financial modeling, dashboards",4,Fresher
2025,Portfolio Manager,"fixed income, bloomberg, performance attribution",17.19,625,"bloomberg, fixed income, performance attribution",3,Senior
2017,Financial Analyst,"variance analysis, financial modeling, forecasting, dashboards",4.58,467,"variance analysis, forecasting",2,Mid
2021,Risk Analyst,"var, stress testing, basel norms, risk reporting",14.56,612,"var, basel norms, risk reporting",3,Senior
2024,Investment Banker,"pitch books, excel advanced, valuation",5.64,609,"pitch books, excel advanced, valuation",3,Fresher
2019,Credit Analyst,"cash flow analysis, credit memo, industry research, financial ratios",18.75,908,"cash flow analysis, credit memo",2,Mid
2023,Risk Analyst,"credit risk, var, risk reporting",11.13,463,"var, risk reporting, credit risk",3,Mid
2022,Financial Controller,"budgeting, erp finance, internal controls, management accounting",13.39,1070,"internal controls, erp finance, management accounting, consolidation",4,Mid
2025,Risk Analyst,"basel norms, credit risk, risk reporting, var, stress testing",11.52,784,"var, credit risk, risk reporting, basel norms, stress testing",5,Senior
2017,Investment Banker,"excel advanced, valuation, m and a",20.15,490,"excel advanced, valuation, m and a",3,Senior
2020,Portfolio Manager,"fixed income, bloomberg, performance attribution, asset allocation",4.47,848,"performance attribution, asset allocation, bloomberg, fixed income, equity research",5,Fresher
2021,Credit Analyst,"cash flow analysis, covenants, credit memo",20.45,598,"cash flow analysis, credit memo, covenants",3,Senior
2022,Chartered Accountant,"tax compliance, auditing, internal audit, financial statements",5.09,510,"tax compliance, financial statements, auditing",3,Fresher
2015,Portfolio Manager,"performance attribution, asset allocation, bloomberg",12.66,585,"asset allocation, bloomberg, performance attribution",3,Mid
2015,Credit Analyst,"cash flow analysis, industry research, covenants, financial ratios, credit memo",7.27,473,"industry research, covenants, cash flow analysis, credit memo, financial ratios",5,Mid
2016,Tax Consultant,"transfer pricing, tax planning, litigation support, gst, income tax",16.91,660,"gst, income tax",2,Mid
2019,Chartered Accountant,"tax compliance, ind as, auditing, financial statements",6.36,702,"financial statements, tax compliance, ind as, auditing, internal audit",5,Senior
2025,Financial Controller,"consolidation, internal controls, management accounting, budgeting",11.0,678,"consolidation, management accounting, internal controls, budgeting, erp finance",5,Mid
2022,Credit Analyst,"credit memo, financial ratios, covenants, industry research, cash flow analysis",15.08,1061,"covenants, financial ratios, industry research",3,Senior
2018,Investment Banker,"valuation, pitch books, excel advanced, due diligence, m and a",18.0,890,"valuation, m and a, due diligence",3,Fresher
2020,Investment Banker,"excel advanced, pitch books, due diligence",10.07,1031,"pitch books, excel advanced, due diligence",3,Mid
2016,Credit Analyst,"cash flow analysis, covenants, industry research, credit memo, financial ratios",8.77,1156,"covenants, credit memo, financial ratios, cash flow analysis",4,Mid
2021,Chartered Accountant,"internal audit, ind as, financial statements, auditing, tax compliance",13.93,350,"ind as, internal audit",2,Mid
2019,Portfolio Manager,"fixed income, equity research, bloomberg",17.54,905,"equity research, fixed income, bloomberg, performance attribution",4,Mid
2020,Financial Analyst,"variance analysis, excel, dashboards, forecasting",21.48,542,"dashboards, variance analysis, excel, forecasting, financial modeling",5,Senior
2023,Financial Analyst,"forecasting, excel, dashboards",18.28,1025,"excel, dashboards, forecasting, financial modeling",4,Mid
2015,Investment Banker,"pitch books, excel advanced, m and a",11.32,587,"m and a, pitch books",2,Senior
2022,Chartered Accountant,"tax compliance, auditing, internal audit, ind as, financial statements",17.28,481,"internal audit, financial statements",2,Mid
2019,Portfolio Manager,"performance attribution, bloomberg, asset allocation",20.4,369,"asset allocation, bloomberg, performance attribution",3,Senior
