Year,Job_Name,Required_Skills,Avg_Salary_LPA,Job_Postings,User_Learned_Skills,Skill_Count,Experience_Level
2017,Psychiatrist,"dsm assessment, mental health assessment, psychotherapy, psychopharmacology",5.01,584,"psychotherapy, dsm assessment, mental health assessment, psychopharmacology",4,Senior
2023,Pathologist,"microscopy, immunohistochemistry, histopathology",21.62,624,"immunohistochemistry, microscopy, histopathology, biopsy analysis",4,Fresher
2016,Cardiologist,"echocardiography, heart failure management, lipid management, cath lab basics",21.42,748,"lipid management, cath lab basics, echocardiography",3,Mid
2016,General Physician,"diagnosis, emr, clinical examination, patient care",16.42,749,"diagnosis, emr, patient care, preventive medicine",4,Mid
2015,Psychiatrist,"crisis intervention, mental health assessment, psychopharmacology",11.04,657,"mental health assessment, psychopharmacology",2,Fresher
2017,Psychiatrist,"mental health assessment, crisis intervention, psychotherapy",5.74,1014,"mental health assessment, crisis intervention",2,Fresher
2018,Radiologist,"radiation safety, mri interpretation, ct interpretation, pacs",12.33,612,"ct interpretation, radiation safety, pacs",3,Senior
2016,General Physician,"patient care, diagnosis, clinical examination",4.06,804,"diagnosis, clinical examination, patient care",3,Fresher
2017,Surgeon,"postoperative care, operative skills, anatomy",20.64,894,"operative skills, postoperative care, laparoscopy",3,Fresher
2017,Surgeon,"sterile technique, operative skills, laparoscopy, anatomy",6.49,475,"operative skills, anatomy, postoperative care",3,Mid
2023,Cardiologist,"lipid management, heart failure management, ecg interpretation, echocardiography",13.36,947,"heart failure management, ecg interpretation, echocardiography, lipid management, cath lab basics",5,Fresher
2017,Pathologist,"laboratory medicine, immunohistochemistry, microscopy, biopsy analysis, histopathology",10.78,797,"biopsy analysis, histopathology, microscopy",3,Senior
2024,Psychiatrist,"psychopharmacology, mental health assessment, psychotherapy, crisis intervention",19.81,644,"psychotherapy, crisis intervention, psychopharmacology",3,Fresher
2018,Emergency Medicine Doctor,"acute management, triage, trauma care, emergency procedures",14.46,464,"trauma care, triage, acute management, emergency procedures, acls",5,Senior
2023,Cardiologist,"heart failure management, ecg interpretation, lipid management, cath lab basics, echocardiography",20.21,633,"heart failure management, lipid management, cath lab basics, ecg interpretation, echocardiography",5,Fresher
2022,Surgeon,"operative skills, anatomy, laparoscopy, postoperative care",11.86,683,"anatomy, laparoscopy",2,Fresher
2015,Pathologist,"biopsy analysis, immunohistochemistry, microscopy, laboratory medicine, histopathology",11.4,871,"laboratory medicine, histopathology, immunohistochemistry, biopsy analysis",4,Fresher
2023,Cardiologist,"echocardiography, cath lab basics, heart failure management, ecg interpretation",10.6,785,"heart failure management, ecg interpretation",2,Senior
2018,Radiologist,"reporting, pacs, radiation safety, ct interpretation",20.84,450,"pacs, radiation safety, ct interpretation, reporting",4,Fresher
2016,General Physician,"patient care, preventive medicine, clinical examination, diagnosis, emr",15.0,193,"preventive medicine, diagnosis, patient care",3,Senior
2023,Pediatrician,"vaccination, child health, adolescent medicine, growth monitoring, neonatal care",10.35,852,"neonatal care, adolescent medicine, growth monitoring, vaccination",4,Senior
2021,Pathologist,"histopathology, immunohistochemistry, laboratory medicine, biopsy analysis, microscopy",4.11,648,"immunohistochemistry, microscopy",2,Fresher
2016,Psychiatrist,"mental health assessment, psychotherapy, dsm assessment, crisis intervention",16.94,600,"mental health assessment, dsm assessment, crisis intervention, psychotherapy",4,Senior
2021,Surgeon,"sterile technique, laparoscopy, postoperative care",9.28,448,"laparoscopy, postoperative care, sterile technique",3,Senior
2020,Emergency Medicine Doctor,"emergency procedures, acls, acute management, trauma care",10.89,823,"trauma care, acute management, acls",3,Fresher
2023,Emergency Medicine Doctor,"triage, acute management, emergency procedures",13.32,995,"triage, acute management, emergency procedures",3,Mid
2018,Pediatrician,"growth monitoring, child health, neonatal care, vaccination, adolescent medicine",10.29,932,"adolescent medicine, growth monitoring, child health, vaccination",4,Fresher
2018,Radiologist,"mri interpretation, reporting, ct interpretation",6.26,1006,"mri interpretation, reporting, ct interpretation",3,Fresher
2017,Emergency Medicine Doctor,"emergency procedures, acute management, triage",7.92,642,"triage, emergency procedures, acls",3,Fresher
2022,Psychiatrist,"psychopharmacology, crisis intervention, mental health assessment",11.61,659,"mental health assessment, crisis intervention, psychopharmacology",3,Fresher
2022,Cardiologist,"echocardiography, ecg interpretation, lipid management",15.8,592,"echocardiography, lipid management, ecg interpretation",3,Fresher
2023,Psychiatrist,"dsm assessment, mental health assessment, psychopharmacology, crisis intervention",20.77,715,"crisis intervention, dsm assessment, mental health assessment, psychopharmacology",4,Senior
2025,Radiologist,"ct interpretation, pacs, mri interpretation",10.57,1183,"ct interpretation, mri interpretation",2,Senior
2018,Surgeon,"postoperative care, anatomy, operative skills",19.49,452,"postoperative care, anatomy, operative skills",3,Fresher
2023,Cardiologist,"ecg interpretation, cath lab basics, heart failure management, lipid management",19.49,910,"lipid management, ecg interpretation, cath lab basics, heart failure management",4,Mid
2015,General Physician,"clinical examination, emr, preventive medicine",13.82,751,"preventive medicine, emr, clinical examination",3,Fresher
2016,Surgeon,"postoperative care, laparoscopy, operative skills, anatomy, sterile technique",15.95,731,"operative skills, laparoscopy, anatomy",3,Fresher
2018,Emergency Medicine Doctor,"triage, emergency procedures, trauma care, acute management",8.09,1132,"triage, emergency procedures",2,Mid
2018,Pathologist,"microscopy, laboratory medicine, biopsy analysis, histopathology",6.18,600,"laboratory medicine, biopsy analysis, microscopy, histopathology",4,Mid
2017,Radiologist,"mri interpretation, pacs, radiation safety",14.78,568,"pacs, mri interpretation, radiation safety",3,Senior
2023,Psychiatrist,"mental health assessment, psychopharmacology, dsm assessment",12.72,332,"psychopharmacology, dsm assessment, mental health assessment",3,Mid
2022,Pediatrician,"growth monitoring, neonatal care, child health, vaccination, adolescent medicine",19.69,595,"child health, growth monitoring, neonatal care, vaccination",4,Mid
2025,Psychiatrist,"psychotherapy, crisis intervention, psychopharmacology, dsm assessment, mental health assessment",5.84,802,"mental health assessment, psychopharmacology, crisis intervention, dsm assessment, psychotherapy",5,Fresher
2018,Pediatrician,"neonatal care, adolescent medicine, vaccination, child health, growth monitoring",20.32,690,"child health, neonatal care",2,Senior
2023,Radiologist,"radiation safety, mri interpretation, reporting",21.98,621,"reporting, radiation safety, mri interpretation",3,Fresher
2019,Pediatrician,"vaccination, adolescent medicine, growth monitoring",12.75,483,"growth monitoring, vaccination, adolescent medicine",3,Fresher
2020,Emergency Medicine Doctor,"acls, triage, emergency procedures, acute management",6.26,497,"triage, emergency procedures, acls, acute management",4,Senior
2017,Pediatrician,"child health, growth monitoring, neonatal care",5.93,688,"growth monitoring, neonatal care, child health",3,Senior
2025,Surgeon,"laparoscopy, operative skills, anatomy",9.64,711,"operative skills, laparoscopy, anatomy",3,Senior
2023,Pediatrician,"child health, growth monitoring, adolescent medicine, neonatal care",14.04,604,"adolescent medicine, neonatal care, growth monitoring, child health, vaccination",5,Senior
2018,Pediatrician,"neonatal care, child health, vaccination",17.43,646,"vaccination, neonatal care, child health",3,Mid
2019,Psychiatrist,"mental health assessment, psychopharmacology, psychotherapy, dsm assessment, crisis intervention",6.92,625,"psychopharmacology, mental health assessment, dsm assessment",3,Mid
2025,Pediatrician,"vaccination, growth monitoring, adolescent medicine",19.72,688,"vaccination, growth monitoring, adolescent medicine",3,Fresher
2021,Pediatrician,"neonatal care, vaccination, child health",15.69,899,"child health, neonatal care, vaccination, adolescent medicine",4,Fresher
2015,Psychiatrist,"psychopharmacology, dsm assessment, mental health assessment",17.31,777,"psychopharmacology, mental health assessment, dsm assessment",3,Fresher
2020,Surgeon,"anatomy, laparoscopy, operative skills",11.62,970,"anatomy, laparoscopy, operative skills",3,Mid
2024,General Physician,"clinical examination, preventive medicine, patient care",7.83,771,"preventive medicine, clinical examination, patient care, emr",4,Senior
2015,Psychiatrist,"psychopharmacology, psychotherapy, dsm assessment, mental health assessment",8.36,670,"psychopharmacology, psychotherapy, dsm assessment, mental health assessment",4,Fresher
2025,Cardiologist,"lipid management, heart failure management, ecg interpretation",14.52,626,"ecg interpretation, heart failure management, lipid management",3,Mid
2020,Radiologist,"mri interpretation, radiation safety, pacs",16.39,511,"pacs, radiation safety",2,Fresher
2021,Surgeon,"sterile technique, anatomy, laparoscopy, postoperative care",18.4,865,"anatomy, laparoscopy, postoperative care, operative skills",4,Senior
2021,General Physician,"preventive medicine, emr, clinical examination, diagnosis, patient care",5.42,740,"emr, patient care, diagnosis, preventive medicine",4,Mid
2024,Surgeon,"operative skills, anatomy, laparoscopy",12.46,432,"anatomy, operative skills, laparoscopy",3,Fresher
2020,Psychiatrist,"crisis intervention, dsm assessment, mental health assessment, psychotherapy, psychopharmacology",4.78,569,"psychotherapy, crisis intervention, mental health assessment, psychopharmacology, dsm assessment",5,Senior
2024,Cardiologist,"cath lab basics, lipid management, echocardiography, ecg interpretation",8.06,607,"echocardiography, cath lab basics, ecg interpretation",3,Fresher
2017,Psychiatrist,"crisis intervention, dsm assessment, psychopharmacology, mental health assessment",8.4,822,"psychopharmacology, crisis intervention, dsm assessment, mental health assessment",4,Senior
2018,Cardiologist,"echocardiography, heart failure management, ecg interpretation, lipid management",14.31,814,"echocardiography, lipid management, heart failure management",3,Mid
2020,Psychiatrist,"mental health assessment, psychopharmacology, dsm assessment, psychotherapy, crisis intervention",20.13,787,"psychotherapy, mental health assessment, dsm assessment, psychopharmacology",4,Fresher
2024,Cardiologist,"ecg interpretation, cath lab basics, heart failure management, echocardiography",7.58,628,"heart failure management, echocardiography",2,Mid
2016,Surgeon,"anatomy, sterile technique, laparoscopy",6.97,638,"anatomy, sterile technique",2,Fresher
2017,Surgeon,"anatomy, postoperative care, operative skills, laparoscopy",11.11,769,"anatomy, laparoscopy, postoperative care, operative skills",4,Fresher
2022,Radiologist,"pacs, ct interpretation, mri interpretation, radiation safety, reporting",19.87,841,"mri interpretation, reporting, pacs",3,Fresher
2018,General Physician,"preventive medicine, diagnosis, clinical examination, emr, patient care",7.45,858,"diagnosis, patient care, preventive medicine, emr, clinical examination",5,Senior
2018,Pathologist,"laboratory medicine, histopathology, microscopy, immunohistochemistry, biopsy analysis",7.72,642,"biopsy analysis, immunohistochemistry, microscopy, laboratory medicine, histopathology",5,Mid
2024,Pediatrician,"neonatal care, child health, adolescent medicine, growth monitoring, vaccination",15.34,679,"adolescent medicine, child health, vaccination, growth monitoring, neonatal care",5,Senior
2017,Cardiologist,"cath lab basics, ecg interpretation, echocardiography, lipid management",12.12,357,"echocardiography, lipid management, cath lab basics, ecg interpretation",4,Fresher
2020,Pediatrician,"child health, adolescent medicine, vaccination, neonatal care, growth monitoring",8.47,783,"child health, growth monitoring, vaccination, adolescent medicine, neonatal care",5,Mid
2022,General Physician,"diagnosis, patient care, preventive medicine, clinical examination",20.59,554,"diagnosis, clinical examination, patient care",3,Fresher
2025,Cardiologist,"lipid management, heart failure management, ecg interpretation, cath lab basics",17.19,617,"heart failure management, ecg interpretation, cath lab basics",3,Fresher
2015,Emergency Medicine Doctor,"emergency procedures, trauma care, acls",21.39,723,"trauma care, acls, emergency procedures",3,Fresher
2019,Surgeon,"operative skills, anatomy, sterile technique, postoperative care, laparoscopy",20.63,675,"laparoscopy, anatomy, postoperative care, sterile technique",4,Senior
2018,Psychiatrist,"dsm assessment, psychopharmacology, crisis intervention, mental health assessment",10.3,598,"crisis intervention, dsm assessment, psychopharmacology, mental health assessment",4,Senior
2017,Pathologist,"biopsy analysis, laboratory medicine, histopathology, microscopy",9.26,470,"biopsy analysis, laboratory medicine",2,Senior
2022,Cardiologist,"echocardiography, cath lab basics, lipid management",17.76,768,"cath lab basics, echocardiography, lipid management",3,Senior
2023,General Physician,"clinical examination, patient care, diagnosis",9.56,402,"clinical examination, patient care, diagnosis",3,Fresher
2020,Pathologist,"immunohistochemistry, histopathology, microscopy",10.6,498,"histopathology, microscopy, immunohistochemistry, laboratory medicine",4,Fresher
2015,Psychiatrist,"dsm assessment, crisis intervention, mental health assessment, psychotherapy, psychopharmacology",8.93,732,"dsm assessment, psychopharmacology, psychotherapy, crisis intervention",4,Senior
2021,Emergency Medicine Doctor,"trauma care, acls, acute management",5.73,901,"trauma care, acls, acute management, emergency procedures",4,Mid
2020,Psychiatrist,"psychotherapy, dsm assessment, psychopharmacology, crisis intervention",17.48,581,"psychopharmacology, dsm assessment, psychotherapy, crisis intervention",4,Mid
2016,Psychiatrist,"psychopharmacology, mental health assessment, dsm assessment",10.69,711,"psychopharmacology, dsm assessment, mental health assessment",3,Senior
2015,Cardiologist,"cath lab basics, heart failure management, lipid management, echocardiography, ecg interpretation",12.96,443,"ecg interpretation, echocardiography, heart failure management, lipid management, cath lab basics",5,Senior
2023,Pediatrician,"vaccination, neonatal care, growth monitoring",21.43,890,"growth monitoring, neonatal care, vaccination, adolescent medicine",4,Fresher
2019,Pediatrician,"vaccination, child health, growth monitoring",9.25,781,"growth monitoring, vaccination, child health, adolescent medicine",4,Fresher
2017,Radiologist,"pacs, reporting, mri interpretation, radiation safety",21.95,787,"pacs, radiation safety, reporting, ct interpretation",4,Fresher
2015,Psychiatrist,"mental health assessment, dsm assessment, psychotherapy, psychopharmacology, crisis intervention",16.19,863,"dsm assessment, psychopharmacology, crisis intervention, mental health assessment, psychotherapy",5,Fresher
2021,Surgeon,"postoperative care, laparoscopy, anatomy, operative skills, sterile technique",10.53,725,"sterile technique, anatomy, laparoscopy, operative skills, postoperative care",5,Mid
2019,Psychiatrist,"mental health assessment, psychotherapy, dsm assessment, psychopharmacology, crisis intervention",20.75,868,"psychotherapy, dsm assessment",2,Senior
2016,Radiologist,"reporting, mri interpretation, pacs",17.68,871,"reporting, mri interpretation, pacs, radiation safety",4,Senior
2015,Cardiologist,"echocardiography, lipid management, ecg interpretation, cath lab basics, heart failure management",8.88,502,"lipid management, heart failure management, ecg interpretation, cath lab basics, echocardiography",5,Mid
2020,Surgeon,"laparoscopy, sterile technique, anatomy",16.84,742,"anatomy, sterile technique, laparoscopy",3,Senior
2023,Emergency Medicine Doctor,"acute management, triage, acls",17.02,586,"acls, triage, acute management",3,Mid
2025,Pediatrician,"vaccination, neonatal care, child health, growth monitoring",17.47,1053,"vaccination, neonatal care",2,Fresher
2025,Pediatrician,"child health, growth monitoring, neonatal care, adolescent medicine",7.94,955,"child health, growth monitoring, neonatal care, adolescent medicine",4,Mid
2016,Psychiatrist,"mental health assessment, psychotherapy, crisis intervention, dsm assessment, psychopharmacology",20.81,637,"mental health assessment, psychotherapy, crisis intervention, dsm assessment",4,Senior
2025,Surgeon,"laparoscopy, operative skills, postoperative care",14.69,359,"operative skills, postoperative care, laparoscopy, sterile technique",4,Fresher
2025,Emergency Medicine Doctor,"trauma care, acute management, acls",9.34,447,"trauma care, acls, acute management, emergency procedures",4,Mid
2022,Emergency Medicine Doctor,"emergency procedures, acls, triage, trauma care, acute management",11.82,438,"acls, emergency procedures, acute management, triage, trauma care",5,Mid
2024,Pediatrician,"neonatal care, vaccination, growth monitoring, child health, adolescent medicine",6.83,370,"growth monitoring, child health, vaccination, neonatal care",4,Fresher
2019,Radiologist,"pacs, reporting, radiation safety, ct interpretation",7.1,813,"reporting, ct interpretation, pacs",3,Senior
2022,Pediatrician,"adolescent medicine, neonatal care, vaccination, child health",8.92,1057,"neonatal care, vaccination, adolescent medicine",3,Senior
2024,Pathologist,"biopsy analysis, immunohistochemistry, laboratory medicine, microscopy",17.07,777,"immunohistochemistry, laboratory medicine",2,Fresher
2018,Emergency Medicine Doctor,"trauma care, acute management, emergency procedures, acls",13.84,760,"trauma care, emergency procedures",2,Fresher
2024,Psychiatrist,"crisis intervention, dsm assessment, psychopharmacology, psychotherapy, mental health assessment",12.67,688,"psychopharmacology, crisis intervention",2,Mid
2023,Pediatrician,"growth monitoring, child health, vaccination",6.2,866,"child health, growth monitoring, vaccination",3,Mid
2017,Radiologist,"radiation safety, mri interpretation, reporting, ct interpretation",10.3,590,"radiation safety, reporting, ct interpretation, mri interpretation",4,Mid
2016,Emergency Medicine Doctor,"emergency procedures, triage, acute management",18.68,560,"triage, acute management, emergency procedures",3,Fresher
2015,Pathologist,"histopathology, microscopy, laboratory medicine",9.32,456,"microscopy, histopathology",2,Mid
2023,Pediatrician,"neonatal care, vaccination, adolescent medicine, growth monitoring",16.77,620,"neonatal care, adolescent medicine, vaccination",3,Senior
2016,Pediatrician,"growth monitoring, vaccination, child health, neonatal care, adolescent medicine",19.7,740,"adolescent medicine, growth monitoring, neonatal care, child health",4,Senior
2023,Psychiatrist,"psychopharmacology, dsm assessment, mental health assessment, crisis intervention",15.58,686,"mental health assessment, crisis intervention, dsm assessment",3,Senior
2025,Pathologist,"laboratory medicine, histopathology, biopsy analysis",11.31,748,"histopathology, laboratory medicine, biopsy analysis",3,Senior
2024,Pathologist,"microscopy, histopathology, laboratory medicine, immunohistochemistry, biopsy analysis",11.1,764,"laboratory medicine, immunohistochemistry, microscopy, histopathology",4,Mid
2017,Pathologist,"laboratory medicine, biopsy analysis, microscopy, immunohistochemistry",15.88,624,"laboratory medicine, biopsy analysis, immunohistochemistry, microscopy",4,Mid
2024,Psychiatrist,"mental health assessment, psychotherapy, dsm assessment",17.39,709,"psychotherapy, mental health assessment, dsm assessment",3,Fresher
2023,General Physician,"preventive medicine, diagnosis, clinical examination, emr, patient care",14.76,557,"preventive medicine, patient care, clinical examination, diagnosis, emr",5,Mid
2015,General Physician,"diagnosis, patient care, emr",21.8,893,"patient care, emr",2,Fresher
2020,Pathologist,"immunohistochemistry, biopsy analysis, histopathology, microscopy",10.36,871,"microscopy, biopsy analysis, histopathology, immunohistochemistry",4,Fresher
2019,Pathologist,"microscopy, laboratory medicine, biopsy analysis",19.61,737,"microscopy, laboratory medicine, biopsy analysis",3,Fresher
2015,Pediatrician,"vaccination, child health, adolescent medicine",13.99,848,"child health, adolescent medicine, vaccination, growth monitoring",4,Fresher
2023,Pathologist,"laboratory medicine, histopathology, immunohistochemistry, biopsy analysis",14.65,609,"laboratory medicine, immunohistochemistry, histopathology, microscopy",4,Mid
2020,Radiologist,"pacs, reporting, radiation safety",18.23,883,"radiation safety, pacs, reporting, mri interpretation",4,Senior
2016,Psychiatrist,"psychopharmacology, crisis intervention, mental health assessment, psychotherapy, dsm assessment",7.25,585,"mental health assessment, crisis intervention, psychopharmacology",3,Mid
2025,Pediatrician,"vaccination, neonatal care, growth monitoring",6.96,381,"vaccination, neonatal care, growth monitoring",3,Mid
2025,Pathologist,"histopathology, immunohistochemistry, microscopy, laboratory medicine, biopsy analysis",5.87,964,"immunohistochemistry, microscopy",2,Senior
2021,Pediatrician,"growth monitoring, vaccination, neonatal care, adolescent medicine, child health",12.29,346,"vaccination, adolescent medicine",2,Fresher
2016,Pediatrician,"adolescent medicine, child health, vaccination, neonatal care, growth monitoring",13.65,427,"adolescent medicine, vaccination",2,Fresher
2016,Surgeon,"laparoscopy, anatomy, sterile technique, postoperative care",14.68,1029,"laparoscopy, anatomy",2,Mid
2016,Pediatrician,"child health, adolescent medicine, vaccination, neonatal care, growth monitoring",14.33,757,"adolescent medicine, child health, growth monitoring",3,Senior
2018,Radiologist,"ct interpretation, reporting, pacs, radiation safety, mri interpretation",20.16,837,"ct interpretation, radiation safety, pacs",3,Mid
2018,Emergency Medicine Doctor,"emergency procedures, acls, trauma care, triage, acute management",10.93,640,"acute management, trauma care, emergency procedures, acls, triage",5,Senior
2015,Surgeon,"laparoscopy, anatomy, postoperative care, sterile technique",18.83,529,"anatomy, laparoscopy, sterile technique, postoperative care, operative skills",5,Senior
2015,Radiologist,"radiation safety, mri interpretation, reporting, ct interpretation",20.17,509,"mri interpretation, reporting, ct interpretation",3,Senior
2016,Psychiatrist,"psychopharmacology, dsm assessment, psychotherapy, mental health assessment, crisis intervention",10.56,714,"psychotherapy, crisis intervention, mental health assessment, dsm assessment",4,Mid
2020,Surgeon,"postoperative care, laparoscopy, sterile technique",16.38,633,"postoperative care, sterile technique",2,Mid
2025,Radiologist,"reporting, mri interpretation, ct interpretation, radiation safety",14.78,943,"mri interpretation, ct interpretation, reporting",3,Mid
2024,Cardiologist,"echocardiography, cath lab basics, ecg interpretation",4.58,680,"echocardiography, ecg interpretation, lipid management",3,Mid
2023,Emergency Medicine Doctor,"triage, acls, emergency procedures, acute management, trauma care",4.58,546,"acls, triage",2,Senior
2019,General Physician,"clinical examination, preventive medicine, emr, patient care",14.65,538,"clinical examination, patient care, preventive medicine, emr",4,Fresher
2020,Psychiatrist,"psychopharmacology, psychotherapy, dsm assessment, mental health assessment",17.08,350,"psychopharmacology, psychotherapy, dsm assessment",3,Senior
2015,Radiologist,"mri interpretation, radiation safety, pacs, reporting, ct interpretation",5.49,838,"reporting, ct interpretation, pacs, mri interpretation",4,Senior
2021,Emergency Medicine Doctor,"acute management, acls, trauma care, emergency procedures, triage",9.22,546,"acute management, emergency procedures, trauma care, acls, triage",5,Fresher
2021,Pediatrician,"neonatal care, vaccination, growth monitoring",7.44,811,"vaccination, neonatal care, growth monitoring",3,Fresher
2022,General Physician,"patient care, emr, diagnosis, preventive medicine",3.7,269,"emr, preventive medicine, patient care, diagnosis",4,Mid
2018,Radiologist,"ct interpretation, mri interpretation, reporting, radiation safety, pacs",17.31,958,"mri interpretation, reporting",2,Fresher
2022,Pediatrician,"neonatal care, child health, vaccination",3.77,973,"vaccination, neonatal care, child health, adolescent medicine",4,Mid
2018,Psychiatrist,"psychotherapy, dsm assessment, mental health assessment, crisis intervention",5.13,606,"mental health assessment, crisis intervention",2,Fresher
2018,General Physician,"preventive medicine, patient care, diagnosis",19.07,667,"diagnosis, preventive medicine, patient care",3,Mid
2015,General Physician,"emr, clinical examination, preventive medicine",14.82,645,"clinical examination, emr, preventive medicine",3,Mid
2023,Surgeon,"anatomy, postoperative care, laparoscopy, sterile technique, operative skills",21.53,821,"anatomy, sterile technique, laparoscopy, operative skills",4,Fresher
2024,Radiologist,"reporting, radiation safety, mri interpretation",7.73,605,"reporting, mri interpretation, radiation safety, ct interpretation",4,Fresher
2021,Emergency Medicine Doctor,"acute management, acls, triage, trauma care, emergency procedures",15.59,1002,"acute management, triage, trauma care, acls",4,Mid
2022,Cardiologist,"cath lab basics, heart failure management, lipid management, echocardiography",16.18,846,"heart failure management, lipid management",2,Fresher
2017,Emergency Medicine Doctor,"acute management, emergency procedures, triage, acls, trauma care",7.99,782,"trauma care, triage, acute management",3,Senior
2018,Surgeon,"postoperative care, anatomy, operative skills, sterile technique, laparoscopy",4.34,973,"sterile technique, anatomy, postoperative care",3,Fresher
2021,General Physician,"clinical examination, diagnosis, patient care",14.38,689,"diagnosis, patient care, clinical examination",3,Fresher
2021,Pathologist,"histopathology, biopsy analysis, laboratory medicine, immunohistochemistry, microscopy",11.41,843,"microscopy, immunohistochemistry",2,Fresher
2021,Surgeon,"laparoscopy, postoperative care, operative skills",9.19,478,"laparoscopy, postoperative care, operative skills, anatomy",4,Fresher
2021,General Physician,"patient care, emr, clinical examination",4.33,894,"emr, patient care, clinical examination",3,Senior
2020,Cardiologist,"echocardiography, ecg interpretation, cath lab basics",19.59,994,"echocardiography, ecg interpretation, cath lab basics, heart failure management",4,Fresher
2017,Pediatrician,"growth monitoring, vaccination, neonatal care, child health",4.97,908,"child health, neonatal care, growth monitoring, vaccination, adolescent medicine",5,Senior
2020,Surgeon,"anatomy, operative skills, sterile technique, laparoscopy",14.4,465,"operative skills, sterile technique, anatomy",3,Mid
2019,General Physician,"clinical examination, emr, diagnosis, patient care",13.22,712,"patient care, emr, clinical examination",3,Senior
2020,Cardiologist,"lipid management, heart failure management, ecg interpretation",8.58,608,"heart failure management, lipid management, ecg interpretation",3,Mid
2022,Emergency Medicine Doctor,"emergency procedures, acute management, acls, triage",12.78,181,"emergency procedures, acute management, acls, triage",4,Fresher
2019,Psychiatrist,"psychotherapy, mental health assessment, crisis intervention, psychopharmacology",9.28,586,"psychopharmacology, crisis intervention, mental health assessment",3,Fresher
2021,Radiologist,"radiation safety, reporting, mri interpretation, pacs",7.92,717,"radiation safety, mri interpretation",2,Senior
2017,Emergency Medicine Doctor,"emergency procedures, acute management, acls",14.26,679,"acls, acute management",2,Senior
2018,Pathologist,"laboratory medicine, biopsy analysis, immunohistochemistry, histopathology",20.94,743,"histopathology, immunohistochemistry, biopsy analysis, laboratory medicine, microscopy",5,Senior
2025,Emergency Medicine Doctor,"acute management, trauma care, acls",16.86,864,"trauma care, acute management, acls, triage",4,Senior
2025,Pediatrician,"growth monitoring, child health, adolescent medicine, neonatal care",8.49,485,"neonatal care, adolescent medicine, child health, growth monitoring",4,Senior
2024,Pathologist,"histopathology, biopsy analysis, microscopy",6.69,503,"microscopy, histopathology",2,Fresher
2025,Surgeon,"sterile technique, anatomy, laparoscopy",5.61,542,"anatomy, sterile technique, laparoscopy, operative skills",4,Mid
2024,Pathologist,"immunohistochemistry, biopsy analysis, microscopy, laboratory medicine, histopathology",16.42,693,"biopsy analysis, microscopy, histopathology",3,Mid
2023,Pediatrician,"growth monitoring, child health, adolescent medicine, neonatal care",17.2,506,"child health, adolescent medicine, neonatal care, growth monitoring",4,Senior
2016,Pediatrician,"neonatal care, adolescent medicine, vaccination",9.04,520,"adolescent medicine, vaccination, neonatal care",3,Fresher
2020,Cardiologist,"ecg interpretation, echocardiography, heart failure management, lipid management",8.18,523,"echocardiography, heart failure management, ecg interpretation, lipid management, cath lab basics",5,Mid
2019,Emergency Medicine Doctor,"triage, acute management, acls, emergency procedures",7.9,883,"triage, acls, acute management",3,Mid
2015,Radiologist,"mri interpretation, ct interpretation, pacs",12.15,807,"pacs, mri interpretation, ct interpretation, reporting",4,Senior
