Year,Job_Name,Required_Skills,Avg_Salary_LPA,Job_Postings,User_Learned_Skills,Skill_Count,Experience_Level
2020,Telecom Network Engineer,"wireless protocols, ran planning, link budget, lte, fiber optics",19.7,869,"link budget, ran planning, lte, fiber optics",4,Mid
2024,Telecom Network Engineer,"ran planning, link budget, lte, fiber optics, wireless protocols",16.08,625,"link budget, wireless protocols, fiber optics, lte",4,Fresher
2017,DSP Engineer,"digital filters, fft, fixed point arithmetic",7.24,842,"fft, fixed point arithmetic, digital filters",3,Fresher
2020,Embedded Systems Engineer,"rtos, microcontroller, firmware, spi protocol, arm cortex",4.7,803,"firmware, spi protocol",2,Mid
2025,PCB Design Engineer,"high speed pcb, stackup design, emi emc",15.59,958,"high speed pcb, emi emc, stackup design",3,Senior
2020,DSP Engineer,"fixed point arithmetic, digital filters, fft, matlab, communications algorithms",5.55,714,"digital filters, fft",2,Mid
2025,DSP Engineer,"matlab, fft, digital filters",21.38,754,"digital filters, fft, matlab, communications algorithms",4,Fresher
2023,Analog Design Engineer,"layout, bandgap reference, spice simulation",18.74,1206,"layout, spice simulation",2,Fresher
2019,Analog Design Engineer,"adc design, layout, op amp design, spice simulation, bandgap reference",21.56,822,"op amp design, adc design, spice simulation, bandgap reference, layout",5,Mid
2022,VLSI Design Engineer,"timing closure, verilog, vhdl",15.24,671,"verilog, timing closure, vhdl",3,Mid
2025,Embedded Systems Engineer,"arm cortex, firmware, rtos, spi protocol",14.44,624,"spi protocol, arm cortex",2,Mid
2025,DSP Engineer,"fixed point arithmetic, matlab, digital filters, communications algorithms",4.63,748,"communications algorithms, matlab, fixed point arithmetic, digital filters",4,Senior
2025,Hardware Test Engineer,"dft, boundary scan, yield analysis, test patterns",6.79,964,"boundary scan, test patterns, dft, yield analysis, ate testing",5,Fresher
2019,VLSI Design Engineer,"verilog, synthesis, timing closure, rtl design",10.13,639,"rtl design, verilog, synthesis",3,Senior
2015,RF Engineer,"network analyzer, antenna design, impedance matching, smith chart",12.14,558,"impedance matching, network analyzer, antenna design, smith chart",4,Mid
2017,PCB Design Engineer,"high speed pcb, stackup design, altium designer, signal integrity, emi emc",4.67,1062,"signal integrity, emi emc, altium designer, high speed pcb, stackup design",5,Mid
2016,Embedded Systems Engineer,"arm cortex, spi protocol, microcontroller, firmware, rtos",15.22,571,"arm cortex, firmware, microcontroller, rtos",4,Fresher
2023,VLSI Design Engineer,"timing closure, vhdl, rtl design, synthesis",12.85,961,"rtl design, vhdl, timing closure",3,Senior
2015,PCB Design Engineer,"emi emc, high speed pcb, altium designer, signal integrity",16.32,843,"signal integrity, high speed pcb, emi emc",3,Senior
2019,Telecom Network Engineer,"lte, fiber optics, link budget, ran planning",14.19,825,"lte, fiber optics, link budget, ran planning, wireless protocols",5,Fresher
2018,Embedded Systems Engineer,"arm cortex, rtos, microcontroller",4.7,540,"rtos, microcontroller, arm cortex",3,Senior
2025,DSP Engineer,"communications algorithms, fixed point arithmetic, fft",19.32,691,"communications algorithms, fixed point arithmetic, fft",3,Senior
2016,VLSI Design Engineer,"vhdl, rtl design, verilog",19.32,683,"rtl design, verilog, vhdl",3,Senior
2018,RF Engineer,"rf chain, smith chart, antenna design, impedance matching, network analyzer",7.89,474,"antenna design, impedance matching, network analyzer, smith chart",4,Fresher
2024,Telecom Network Engineer,"lte, fiber optics, ran planning",18.45,591,"fiber optics, ran planning, lte, wireless protocols",4,Senior
2023,VLSI Design Engineer,"synthesis, timing closure, verilog, vhdl, rtl design",13.63,663,"verilog, rtl design, timing closure, synthesis, vhdl",5,Fresher
2018,Telecom Network Engineer,"link budget, lte, fiber optics",21.68,766,"lte, link budget, fiber optics",3,Senior
2024,Telecom Network Engineer,"lte, wireless protocols, link budget, ran planning, fiber optics",9.85,932,"lte, link budget",2,Fresher
2017,RF Engineer,"network analyzer, impedance matching, antenna design",16.81,563,"network analyzer, antenna design, impedance matching, smith chart",4,Mid
2015,PCB Design Engineer,"signal integrity, altium designer, emi emc, high speed pcb, stackup design",8.07,870,"stackup design, high speed pcb, signal integrity",3,Senior
2025,Embedded Systems Engineer,"microcontroller, arm cortex, spi protocol, rtos",8.24,863,"rtos, spi protocol, firmware",3,Fresher
2025,Hardware Test Engineer,"boundary scan, test patterns, ate testing, dft",4.04,439,"dft, test patterns, ate testing, boundary scan, yield analysis",5,Senior
2016,Analog Design Engineer,"spice simulation, bandgap reference, op amp design, adc design",10.65,711,"spice simulation, bandgap reference, adc design, op amp design, layout",5,Senior
2024,Hardware Test Engineer,"ate testing, dft, yield analysis",4.63,1111,"yield analysis, dft, ate testing",3,Fresher
2025,RF Engineer,"rf chain, antenna design, smith chart",9.98,882,"antenna design, smith chart, rf chain, impedance matching",4,Fresher
2019,VLSI Design Engineer,"vhdl, synthesis, rtl design, timing closure, verilog",17.12,659,"timing closure, vhdl, rtl design, verilog",4,Fresher
2024,Analog Design Engineer,"adc design, layout, bandgap reference",19.09,943,"bandgap reference, layout, adc design",3,Mid
2019,VLSI Design Engineer,"synthesis, vhdl, timing closure, verilog",9.82,789,"verilog, synthesis, timing closure",3,Fresher
2021,VLSI Design Engineer,"synthesis, vhdl, rtl design, verilog, timing closure",5.7,814,"vhdl, verilog, timing closure",3,Mid
2017,Embedded Systems Engineer,"firmware, arm cortex, microcontroller, rtos, spi protocol",14.65,656,"microcontroller, arm cortex",2,Fresher
2022,Hardware Test Engineer,"test patterns, boundary scan, yield analysis",14.53,368,"test patterns, yield analysis, boundary scan",3,Fresher
2017,Analog Design Engineer,"layout, bandgap reference, spice simulation, adc design",7.96,624,"spice simulation, bandgap reference, layout, adc design",4,Fresher
2018,DSP Engineer,"digital filters, matlab, fixed point arithmetic",19.82,466,"matlab, digital filters, fixed point arithmetic",3,Fresher
2024,RF Engineer,"antenna design, smith chart, rf chain",17.0,588,"smith chart, rf chain",2,Mid
2023,Embedded Systems Engineer,"arm cortex, spi protocol, rtos",9.86,557,"arm cortex, rtos, spi protocol",3,Mid
2021,Telecom Network Engineer,"ran planning, fiber optics, lte, link budget, wireless protocols",7.94,449,"fiber optics, wireless protocols",2,Mid
2019,RF Engineer,"network analyzer, smith chart, rf chain, antenna design",11.52,354,"antenna design, rf chain, smith chart",3,Fresher
2016,VLSI Design Engineer,"synthesis, verilog, vhdl",16.05,702,"synthesis, vhdl, verilog, rtl design",4,Fresher
2021,PCB Design Engineer,"high speed pcb, signal integrity, altium designer",10.92,1062,"signal integrity, altium designer, high speed pcb, stackup design",4,Fresher
2025,Telecom Network Engineer,"ran planning, link budget, fiber optics",19.13,797,"link budget, ran planning, fiber optics",3,Senior
2017,PCB Design Engineer,"high speed pcb, signal integrity, altium designer",17.87,687,"signal integrity, altium designer, emi emc",3,Senior
2016,DSP Engineer,"communications algorithms, digital filters, matlab",12.95,1261,"communications algorithms, digital filters",2,Senior
2019,Analog Design Engineer,"adc design, bandgap reference, spice simulation, op amp design",20.08,1128,"bandgap reference, op amp design, spice simulation",3,Senior
2025,Analog Design Engineer,"adc design, op amp design, spice simulation",4.52,540,"adc design, spice simulation, op amp design, bandgap reference",4,Fresher
2022,Hardware Test Engineer,"dft, yield analysis, test patterns",14.49,486,"yield analysis, dft, test patterns",3,Senior
2018,RF Engineer,"network analyzer, antenna design, smith chart, rf chain",16.11,935,"rf chain, antenna design",2,Senior
2021,Hardware Test Engineer,"test patterns, boundary scan, ate testing",18.82,995,"test patterns, boundary scan",2,Mid
2024,PCB Design Engineer,"altium designer, emi emc, high speed pcb, signal integrity",13.33,694,"high speed pcb, emi emc, signal integrity",3,Mid
2016,VLSI Design Engineer,"verilog, synthesis, timing closure",20.0,877,"synthesis, verilog, timing closure",3,Fresher
2018,VLSI Design Engineer,"synthesis, rtl design, verilog",10.5,404,"verilog, rtl design",2,Mid
2019,Embedded Systems Engineer,"rtos, arm cortex, spi protocol, firmware, microcontroller",9.7,949,"arm cortex, rtos, microcontroller",3,Senior
2018,VLSI Design Engineer,"timing closure, vhdl, rtl design, verilog, synthesis",13.47,708,"timing closure, vhdl, synthesis",3,Senior
2018,RF Engineer,"smith chart, rf chain, impedance matching, network analyzer, antenna design",16.21,700,"smith chart, impedance matching, antenna design",3,Fresher
2016,PCB Design Engineer,"emi emc, signal integrity, high speed pcb, altium designer",11.27,869,"high speed pcb, signal integrity, altium designer, emi emc",4,Senior
2019,Telecom Network Engineer,"wireless protocols, lte, fiber optics, ran planning",3.89,904,"fiber optics, lte, wireless protocols, ran planning, link budget",5,Mid
2021,Hardware Test Engineer,"test patterns, boundary scan, yield analysis, ate testing",4.8,1202,"boundary scan, ate testing, test patterns",3,Fresher
2019,Embedded Systems Engineer,"spi protocol, microcontroller, firmware, arm cortex, rtos",16.14,884,"microcontroller, firmware, arm cortex, rtos, spi protocol",5,Fresher
2017,Analog Design Engineer,"spice simulation, op amp design, bandgap reference",3.7,779,"spice simulation, bandgap reference",2,Mid
2019,DSP Engineer,"digital filters, fft, fixed point arithmetic, matlab",12.92,454,"fft, matlab, fixed point arithmetic, digital filters",4,Fresher
2015,RF Engineer,"antenna design, smith chart, rf chain, impedance matching, network analyzer",11.23,806,"impedance matching, smith chart, antenna design, rf chain, network analyzer",5,Fresher
2023,Telecom Network Engineer,"ran planning, link budget, fiber optics",7.77,670,"fiber optics, ran planning, link budget",3,Senior
2025,DSP Engineer,"communications algorithms, fft, matlab, digital filters, fixed point arithmetic",7.59,838,"digital filters, fixed point arithmetic, matlab, communications algorithms",4,Mid
2021,Hardware Test Engineer,"test patterns, boundary scan, ate testing, yield analysis, dft",14.58,286,"yield analysis, dft",2,Fresher
2017,DSP Engineer,"matlab, fft, communications algorithms, fixed point arithmetic, digital filters",5.47,587,"digital filters, communications algorithms, matlab, fixed point arithmetic",4,Senior
2018,Hardware Test Engineer,"ate testing, yield analysis, boundary scan, test patterns, dft",9.02,493,"boundary scan, ate testing, yield analysis, test patterns",4,Mid
2017,Embedded Systems Engineer,"arm cortex, spi protocol, microcontroller, rtos, firmware",11.75,410,"firmware, rtos, arm cortex, spi protocol, microcontroller",5,Mid
2025,Hardware Test Engineer,"boundary scan, yield analysis, ate testing, dft, test patterns",21.39,651,"dft, yield analysis, ate testing, boundary scan",4,Senior
2021,Analog Design Engineer,"bandgap reference, op amp design, adc design",4.88,768,"op amp design, adc design, bandgap reference, spice simulation",4,Fresher
2025,Analog Design Engineer,"op amp design, adc design, bandgap reference",20.56,905,"adc design, bandgap reference, op amp design, layout",4,Fresher
2021,Telecom Network Engineer,"wireless protocols, link budget, ran planning, lte",14.91,886,"link budget, lte, wireless protocols",3,Senior
2015,PCB Design Engineer,"stackup design, altium designer, emi emc",5.85,1025,"emi emc, altium designer, stackup design",3,Mid
2025,Embedded Systems Engineer,"rtos, spi protocol, firmware",6.36,821,"firmware, rtos, spi protocol, microcontroller",4,Senior
2017,Hardware Test Engineer,"dft, test patterns, ate testing",21.24,936,"test patterns, ate testing, dft",3,Mid
2018,Analog Design Engineer,"bandgap reference, adc design, op amp design, layout",11.8,270,"bandgap reference, op amp design, adc design, layout",4,Senior
2015,Telecom Network Engineer,"fiber optics, lte, wireless protocols, link budget, ran planning",5.42,545,"fiber optics, link budget, ran planning",3,Fresher
2018,VLSI Design Engineer,"synthesis, vhdl, rtl design, verilog, timing closure",9.93,463,"verilog, timing closure, synthesis, rtl design",4,Fresher
2021,DSP Engineer,"matlab, fft, digital filters, fixed point arithmetic, communications algorithms",5.75,750,"communications algorithms, fft",2,Senior
2015,Embedded Systems Engineer,"spi protocol, firmware, microcontroller",12.94,464,"microcontroller, firmware",2,Senior
2018,Telecom Network Engineer,"fiber optics, lte, link budget, ran planning",19.15,699,"ran planning, lte, fiber optics",3,Fresher
2021,PCB Design Engineer,"emi emc, signal integrity, stackup design",14.16,392,"emi emc, stackup design, signal integrity, altium designer",4,Senior
2021,Telecom Network Engineer,"wireless protocols, link budget, lte",18.84,739,"wireless protocols, link budget, lte, fiber optics",4,Senior
2020,RF Engineer,"antenna design, network analyzer, rf chain, smith chart",6.35,407,"network analyzer, smith chart, antenna design, rf chain",4,Senior
2020,DSP Engineer,"fixed point arithmetic, matlab, communications algorithms, digital filters",19.31,536,"digital filters, communications algorithms, fixed point arithmetic, fft",4,Mid
2015,Telecom Network Engineer,"link budget, ran planning, lte, wireless protocols, fiber optics",7.66,635,"lte, wireless protocols, fiber optics",3,Mid
2020,Embedded Systems Engineer,"spi protocol, microcontroller, arm cortex, firmware, rtos",16.74,786,"arm cortex, rtos, microcontroller, spi protocol",4,Mid
2019,RF Engineer,"impedance matching, antenna design, rf chain, smith chart",6.0,700,"antenna design, smith chart",2,Fresher
2016,Telecom Network Engineer,"ran planning, link budget, fiber optics, lte, wireless protocols",7.48,808,"lte, fiber optics, wireless protocols",3,Fresher
2023,PCB Design Engineer,"high speed pcb, signal integrity, stackup design",3.7,560,"stackup design, high speed pcb",2,Mid
2021,Telecom Network Engineer,"link budget, ran planning, lte",15.37,460,"ran planning, lte",2,Mid
2023,DSP Engineer,"digital filters, communications algorithms, matlab",14.99,541,"digital filters, communications algorithms, matlab",3,Senior
2024,Telecom Network Engineer,"ran planning, fiber optics, wireless protocols",4.26,797,"wireless protocols, fiber optics",2,Fresher
2019,DSP Engineer,"fixed point arithmetic, fft, communications algorithms, matlab, digital filters",6.95,1083,"fft, digital filters, communications algorithms",3,Mid
2021,Telecom Network Engineer,"wireless protocols, lte, ran planning, link budget",9.04,983,"wireless protocols, ran planning, link budget, lte",4,Mid
2015,Telecom Network Engineer,"link budget, fiber optics, ran planning, lte, wireless protocols",10.06,774,"wireless protocols, lte, fiber optics, link budget, ran planning",5,Fresher
2017,PCB Design Engineer,"emi emc, stackup design, high speed pcb, signal integrity",18.6,759,"emi emc, high speed pcb, signal integrity, stackup design",4,Fresher
2017,RF Engineer,"network analyzer, antenna design, smith chart, rf chain, impedance matching",6.41,544,"impedance matching, smith chart",2,Mid
2018,Hardware Test Engineer,"test patterns, boundary scan, ate testing, yield analysis, dft",18.15,586,"yield analysis, boundary scan, dft",3,Mid
2021,PCB Design Engineer,"emi emc, signal integrity, stackup design, high speed pcb",6.95,895,"emi emc, signal integrity, high speed pcb, stackup design",4,Senior
2015,RF Engineer,"impedance matching, network analyzer, antenna design",21.42,556,"network analyzer, antenna design",2,Fresher
